instructions.started,instructions.stopped,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,participant,session,date,expName,psychopyVersion,OS,frameRate,ISI.started,positions,ISI.stopped,corsi_present.started,corsi_present.stopped,block_sequence.thisRepN,block_sequence.thisTrialN,block_sequence.thisN,block_sequence.thisIndex,block_sequence.ran,corsi_respond.started,corsi_respond.stopped,corsi_mouse.x,corsi_mouse.y,corsi_mouse.leftButton,corsi_mouse.midButton,corsi_mouse.rightButton,corsi_mouse.time,corsi_mouse.clicked_name,correct_list,corsi_correct,feedback.started,feedback.stopped,corsi_task.thisRepN,corsi_task.thisTrialN,corsi_task.thisN,corsi_task.thisIndex,corsi_task.ran
0,5.676,,0.134259259,0.035185185,1,0,0,5.673,177261,001,2023-12-04_14h59.48.015,corsi_blocks,2023.2.2,Win32,60.0240096,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,177261,001,2023-12-04_14h59.48.015,corsi_blocks,2023.2.2,Win32,60.0240096,5.683,"[[-0.4075,0.11875],[0.365,-0.27625],[0.30125,-0.0175],[-0.24625,0.04375],[-0.485,0.34625],[-0.285,-0.27125],[-0.09875,0.065],[-0.68625,-0.225],[-0.0225,0.395]]",6.176,6.177,6.676,0,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,177261,001,2023-12-04_14h59.48.015,corsi_blocks,2023.2.2,Win32,60.0240096,,,,6.676,7.176,1,0,1,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,177261,001,2023-12-04_14h59.48.015,corsi_blocks,2023.2.2,Win32,60.0240096,,,,7.177,7.676,2,0,2,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,177261,001,2023-12-04_14h59.48.015,corsi_blocks,2023.2.2,Win32,60.0240096,,,,,,,,,,,7.676,11.343,"[-0.37962962962962965,0.35185185185185186,0.2657407407407407,0.5046296296296297]","[0.11481481481481481,-0.26666666666666666,-0.013888888888888888,-0.4101851851851852]","[1,1,1,1]","[0,0,0,0]","[0,0,0,0]","[1.0819999999999972,2.1809999999999974,2.663999999999998,3.664999999999999]","[""blk1"",""blk2"",""blk3""]","[1,1,1]",1,11.343,12.342,0,0,0,0,1
,,,,,,,,,177261,001,2023-12-04_14h59.48.015,corsi_blocks,2023.2.2,Win32,60.0240096,12.343,"[[-0.68625,-0.225],[-0.12125,-0.12625],[0.6375,0.27375],[0.365,-0.27625],[0.28875,0.39875],[0.0675,0.07375],[0.03125,-0.41],[-0.01125,-0.295],[-0.485,0.34625]]",12.843,12.843,13.343,0,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,177261,001,2023-12-04_14h59.48.015,corsi_blocks,2023.2.2,Win32,60.0240096,,,,13.343,13.843,1,0,1,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,177261,001,2023-12-04_14h59.48.015,corsi_blocks,2023.2.2,Win32,60.0240096,,,,13.843,14.343,2,0,2,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,177261,001,2023-12-04_14h59.48.015,corsi_blocks,2023.2.2,Win32,60.0240096,,,,14.343,14.842,3,0,3,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,177261,001,2023-12-04_14h59.48.015,corsi_blocks,2023.2.2,Win32,60.0240096,,,,,,,,,,,14.842,18.693,"[-0.6824074074074075,-0.0712962962962963,0.6564814814814814,0.375,0.45092592592592595]","[-0.2175925925925926,-0.13703703703703704,0.2490740740740741,-0.2824074074074074,-0.39166666666666666]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.833000000000002,1.4990000000000023,2.266000000000002,3.065999999999999,3.849]","[""blk1"",""blk2"",""blk3"",""blk4""]","[1,1,1,1]",1,18.693,19.692,1,0,1,0,1
,,,,,,,,,177261,001,2023-12-04_14h59.48.015,corsi_blocks,2023.2.2,Win32,60.0240096,19.692,"[[0.28875,0.39875],[-0.24625,0.04375],[-0.26625,0.235],[0.03125,-0.41],[0.25625,0.0975],[0.57875,-0.31375],[0.54,0.03625],[0.16625,0.3825],[0.62875,-0.1825]]",20.192,20.193,20.692,0,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,177261,001,2023-12-04_14h59.48.015,corsi_blocks,2023.2.2,Win32,60.0240096,,,,20.693,21.192,1,0,1,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,177261,001,2023-12-04_14h59.48.015,corsi_blocks,2023.2.2,Win32,60.0240096,,,,21.193,21.692,2,0,2,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,177261,001,2023-12-04_14h59.48.015,corsi_blocks,2023.2.2,Win32,60.0240096,,,,21.692,22.192,3,0,3,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,177261,001,2023-12-04_14h59.48.015,corsi_blocks,2023.2.2,Win32,60.0240096,,,,22.192,22.692,4,0,4,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,177261,001,2023-12-04_14h59.48.015,corsi_blocks,2023.2.2,Win32,60.0240096,,,,,,,,,,,22.692,26.708,"[0.27314814814814814,-0.28425925925925927,-0.27870370370370373,0.018518518518518517,0.2814814814814815,0.43148148148148147]","[0.37407407407407406,0.04814814814814815,0.20092592592592592,-0.36666666666666664,0.07962962962962963,-0.3962962962962963]","[1,1,1,1,1,1]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[0.4319999999999986,1.0829999999999984,1.6660000000000004,2.448999999999998,3.282,4.015000000000001]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]","[1,1,1,1,1]",1,26.709,27.708,2,0,2,0,1
,,,,,,,,,177261,001,2023-12-04_14h59.48.015,corsi_blocks,2023.2.2,Win32,60.0240096,27.709,"[[-0.12125,-0.12625],[0.57875,-0.31375],[0.30125,-0.0175],[0.03125,-0.41],[-0.24625,0.04375],[-0.26625,0.235],[0.45375,0.175],[0.25625,0.0975],[-0.4075,0.11875]]",28.209,28.209,28.709,0,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,177261,001,2023-12-04_14h59.48.015,corsi_blocks,2023.2.2,Win32,60.0240096,,,,28.709,29.209,1,0,1,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,177261,001,2023-12-04_14h59.48.015,corsi_blocks,2023.2.2,Win32,60.0240096,,,,29.209,29.709,2,0,2,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,177261,001,2023-12-04_14h59.48.015,corsi_blocks,2023.2.2,Win32,60.0240096,,,,29.709,30.209,3,0,3,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,177261,001,2023-12-04_14h59.48.015,corsi_blocks,2023.2.2,Win32,60.0240096,,,,30.209,30.708,4,0,4,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,177261,001,2023-12-04_14h59.48.015,corsi_blocks,2023.2.2,Win32,60.0240096,,,,30.708,31.209,5,0,5,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,177261,001,2023-12-04_14h59.48.015,corsi_blocks,2023.2.2,Win32,60.0240096,,,,,,,,,,,31.209,36.642,"[-0.10185185185185185,0.5962962962962963,0.29907407407407405,0.025,-0.2657407407407407,-0.24444444444444444,0.5351851851851852]","[-0.1259259259259259,-0.30277777777777776,-0.019444444444444445,-0.4148148148148148,0.22685185185185186,0.05277777777777778,-0.4212962962962963]","[1,1,1,1,1,1,1]","[0,0,0,0,0,0,0]","[0,0,0,0,0,0,0]","[0.43299999999999983,1.1499999999999986,1.8499999999999943,2.6499999999999986,3.4989999999999952,4.415999999999997,5.433]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk6"",""blk5""]","[1,1,1,1,0,0]",0,36.642,37.642,3,0,3,0,1
,,,,,,,,,177261,001,2023-12-04_14h59.48.015,corsi_blocks,2023.2.2,Win32,60.0240096,37.642,"[[-0.16125,-0.28],[0.22,0.2425],[0.0675,0.07375],[-0.01875,0.235],[0.57875,-0.31375],[-0.6025,0.0725],[-0.09875,0.065],[-0.68625,-0.225],[0.54,0.03625]]",38.142,38.144,38.641,0,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,177261,001,2023-12-04_14h59.48.015,corsi_blocks,2023.2.2,Win32,60.0240096,,,,38.642,39.141,1,0,1,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,177261,001,2023-12-04_14h59.48.015,corsi_blocks,2023.2.2,Win32,60.0240096,,,,39.141,39.644,2,0,2,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,177261,001,2023-12-04_14h59.48.015,corsi_blocks,2023.2.2,Win32,60.0240096,,,,39.644,40.142,3,0,3,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,177261,001,2023-12-04_14h59.48.015,corsi_blocks,2023.2.2,Win32,60.0240096,,,,40.142,40.642,4,0,4,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,177261,001,2023-12-04_14h59.48.015,corsi_blocks,2023.2.2,Win32,60.0240096,,,,40.642,41.142,5,0,5,0,1,,,,,,,,,,,,,,,,,,
