instructions.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,participant,session,date,expName,psychopyVersion,OS,frameRate,ISI.started,positions,ISI.stopped,corsi_present.started,corsi_present.stopped,block_sequence.thisRepN,block_sequence.thisTrialN,block_sequence.thisN,block_sequence.thisIndex,block_sequence.ran,corsi_respond.started,corsi_respond.stopped,corsi_mouse.x,corsi_mouse.y,corsi_mouse.leftButton,corsi_mouse.midButton,corsi_mouse.rightButton,corsi_mouse.time,corsi_mouse.clicked_name,correct_list,corsi_correct,feedback.started,feedback.stopped,corsi_task.thisRepN,corsi_task.thisTrialN,corsi_task.thisN,corsi_task.thisIndex,corsi_task.ran,corsi_task.order,block_sequence.order
0.0006,3.7748,space,3.758,,,,,,,,331393,001,2024-02-28_10h50.50.787,corsi_blocks,2023.2.2,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,331393,001,2024-02-28_10h50.50.787,corsi_blocks,2023.2.2,Win32,60.24096386,3.7842,"[[0.54,0.03625],[0.62875,-0.1825],[-0.24625,0.04375],[0.4625,0.35875],[-0.01125,-0.295],[0.05875,-0.0575],[-0.12125,-0.12625],[0.6375,0.27375],[-0.26625,0.235]]",4.2746,4.2759,4.7746,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,331393,001,2024-02-28_10h50.50.787,corsi_blocks,2023.2.2,Win32,60.24096386,,,,4.7752,5.2741,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,331393,001,2024-02-28_10h50.50.787,corsi_blocks,2023.2.2,Win32,60.24096386,,,,5.2744,5.7742,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,331393,001,2024-02-28_10h50.50.787,corsi_blocks,2023.2.2,Win32,60.24096386,,,,,,,,,,,5.7748,9.9248,"[0.534375,0.609375,-0.21875,0.515625]","[0.03,-0.17375,0.028125,-0.376875]","[1,1,1,1]","[0,0,0,0]","[0,0,0,0]","[1.7485000000000017,2.4640999999940405,3.1138999999761587,4.147500000000001]","[""blk1"",""blk2"",""blk3""]","[1,1,1]",1,9.9255,10.9236,0,0,0,0,1,,
,,,,,,,,,,,331393,001,2024-02-28_10h50.50.787,corsi_blocks,2023.2.2,Win32,60.24096386,10.924,"[[-0.285,-0.27125],[-0.35125,0.36625],[0.45375,0.175],[-0.675,0.29875],[-0.26625,0.235],[0.57875,-0.31375],[-0.01125,-0.295],[-0.0225,0.395],[0.0675,0.07375]]",11.4234,11.4242,11.9237,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,331393,001,2024-02-28_10h50.50.787,corsi_blocks,2023.2.2,Win32,60.24096386,,,,11.9242,12.4234,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,331393,001,2024-02-28_10h50.50.787,corsi_blocks,2023.2.2,Win32,60.24096386,,,,12.4238,12.9236,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,331393,001,2024-02-28_10h50.50.787,corsi_blocks,2023.2.2,Win32,60.24096386,,,,12.9238,13.4231,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,331393,001,2024-02-28_10h50.50.787,corsi_blocks,2023.2.2,Win32,60.24096386,,,,,,,,,,,13.4233,17.5395,"[-0.276875,-0.364375,0.430625,-0.628125,0.46]","[-0.300625,0.339375,0.18125,0.286875,-0.414375]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.9155999999940398,1.64540000000596,2.3489000000059583,3.115500000000001,4.115300000011921]","[""blk1"",""blk2"",""blk3"",""blk4""]","[1,1,1,1]",1,17.5399,18.5392,1,0,1,0,1,,
