instructions.started,instructions.stopped,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,participant,session,date,expName,psychopyVersion,OS,frameRate,ISI.started,positions,ISI.stopped,corsi_present.started,corsi_present.stopped,block_sequence.thisRepN,block_sequence.thisTrialN,block_sequence.thisN,block_sequence.thisIndex,block_sequence.ran,corsi_respond.started,corsi_respond.stopped,corsi_mouse.x,corsi_mouse.y,corsi_mouse.leftButton,corsi_mouse.midButton,corsi_mouse.rightButton,corsi_mouse.time,corsi_mouse.clicked_name,correct_list,corsi_correct,feedback.started,feedback.stopped,corsi_task.thisRepN,corsi_task.thisTrialN,corsi_task.thisN,corsi_task.thisIndex,corsi_task.ran,corsi_task.order
0,0.818,,-0.007407407,-0.059259259,1,0,0,0.816,173109,001,2024-01-16_04h53.38.359,corsi_blocks,2023.2.2,Win32,83.33333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,173109,001,2024-01-16_04h53.38.359,corsi_blocks,2023.2.2,Win32,83.33333333,0.824,"[[0.19375,-0.17125],[0.45375,0.175],[0.365,-0.27625],[0.22,0.2425],[0.0675,0.07375],[-0.01125,-0.295],[0.1925,-0.295],[-0.4075,0.11875],[0.62875,-0.1825]]",1.325,1.326,1.819,0,0,0,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,173109,001,2024-01-16_04h53.38.359,corsi_blocks,2023.2.2,Win32,83.33333333,,,,1.819,2.312,1,0,1,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,173109,001,2024-01-16_04h53.38.359,corsi_blocks,2023.2.2,Win32,83.33333333,,,,2.312,2.805,2,0,2,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,173109,001,2024-01-16_04h53.38.359,corsi_blocks,2023.2.2,Win32,83.33333333,,,,,,,,,,,2.806,10.663,"[0.4166666666666667,0.23148148148148148,0.2,0.4842592592592593,0.5277777777777778,0.5166666666666667]","[0.16574074074074074,-0.15185185185185185,-0.2861111111111111,-0.43425925925925923,-0.3388888888888889,-0.37592592592592594]","[1,1,1,1,1,1]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[3.3870000000000005,3.7479999999999993,5.267999999999999,5.987,7.629,7.856]","[""blk2"",""blk1"",""blk7""]","[0,0,0]",0,10.663,11.663,0,0,0,0,1,
,,,,,,,,,173109,001,2024-01-16_04h53.38.359,corsi_blocks,2023.2.2,Win32,83.33333333,11.663,"[[-0.675,0.29875],[-0.3575,-0.05625],[-0.09875,0.065],[0.54,0.03625],[0.4625,0.35875],[-0.01875,0.235],[-0.18625,0.41125],[0.4125,-0.1325],[-0.12125,-0.12625]]",12.156,12.156,12.65,0,0,0,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,173109,001,2024-01-16_04h53.38.359,corsi_blocks,2023.2.2,Win32,83.33333333,,,,12.65,13.143,1,0,1,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,173109,001,2024-01-16_04h53.38.359,corsi_blocks,2023.2.2,Win32,83.33333333,,,,13.143,13.637,2,0,2,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,173109,001,2024-01-16_04h53.38.359,corsi_blocks,2023.2.2,Win32,83.33333333,,,,,,,,,,,13.637,16.958,"[-0.6157407407407407,-0.6898148148148148,-0.4083333333333333,-0.36944444444444446,-0.08055555555555556,0.48148148148148145]","[0.2962962962962963,0.33240740740740743,-0.023148148148148147,-0.06111111111111111,0.07962962962962963,-0.4101851851851852]","[1,1,1,1,1,1]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[0.46699999999999875,1.1469999999999985,1.5719999999999956,2.308,2.561,3.320999999999998]","[""blk1"",""blk2"",""blk3""]","[1,1,1]",1,16.958,17.958,1,0,1,0,1,
,,,,,,,,,173109,001,2024-01-16_04h53.38.359,corsi_blocks,2023.2.2,Win32,83.33333333,17.959,"[[0.4125,-0.1325],[0.62875,-0.1825],[0.03125,-0.41],[-0.3575,-0.05625],[0.57875,-0.31375],[-0.12125,-0.12625],[0.45375,0.175],[0.6375,0.27375],[-0.01125,-0.295]]",18.452,18.453,18.945,0,0,0,0,1,,,,,,,,,,,,,,,,,,,
