instructions.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,participant,session,date,expName,psychopyVersion,OS,frameRate,ISI.started,positions,ISI.stopped,corsi_present.started,corsi_present.stopped,block_sequence.thisRepN,block_sequence.thisTrialN,block_sequence.thisN,block_sequence.thisIndex,block_sequence.ran,corsi_respond.started,corsi_respond.stopped,corsi_mouse.x,corsi_mouse.y,corsi_mouse.leftButton,corsi_mouse.midButton,corsi_mouse.rightButton,corsi_mouse.time,corsi_mouse.clicked_name,correct_list,corsi_correct,feedback.started,feedback.stopped,corsi_task.thisRepN,corsi_task.thisTrialN,corsi_task.thisN,corsi_task.thisIndex,corsi_task.ran,corsi_task.order,block_sequence.order
0.0003,5.7528,space,5.6741,,,,,,,,275750,001,2024-02-28_21h00.33.186,corsi_blocks,2023.2.2,Win32,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,275750,001,2024-02-28_21h00.33.186,corsi_blocks,2023.2.2,Win32,60.24096386,5.759,"[[-0.09875,0.065],[-0.35125,0.36625],[0.19375,-0.17125],[0.6375,0.27375],[0.4125,-0.1325],[-0.68625,-0.225],[0.54,0.03625],[-0.485,0.34625],[0.62875,-0.1825]]",6.2509,6.2523,6.7518,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,275750,001,2024-02-28_21h00.33.186,corsi_blocks,2023.2.2,Win32,60.24096386,,,,6.7527,7.2507,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,275750,001,2024-02-28_21h00.33.186,corsi_blocks,2023.2.2,Win32,60.24096386,,,,7.2511,7.7508,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,275750,001,2024-02-28_21h00.33.186,corsi_blocks,2023.2.2,Win32,60.24096386,,,,,,,,,,,7.7512,20.1347,"[-0.09259259259259259,0.21574076899775751,0.45555552729853876,0.5249999717429832]","[0.0712963033605505,-0.16203703703703703,-0.13148152386700665,-0.3953704127558955]","[1,1,1,1]","[0,0,0,0]","[0,0,0,0]","[7.965199999999253,9.748000000000001,10.881499999999999,12.381199999999254]","[""blk1"",""blk3"",""blk5""]","[1,0,0]",0,20.1352,21.134,0,0,0,0,1,,
,,,,,,,,,,,275750,001,2024-02-28_21h00.33.186,corsi_blocks,2023.2.2,Win32,60.24096386,21.1343,"[[-0.18625,0.41125],[-0.01875,0.235],[0.25625,0.0975],[-0.26625,0.235],[-0.3575,-0.05625],[-0.0225,0.395],[0.05875,-0.0575],[0.62875,-0.1825],[0.57875,-0.31375]]",21.6344,21.6352,22.134,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,275750,001,2024-02-28_21h00.33.186,corsi_blocks,2023.2.2,Win32,60.24096386,,,,22.1344,22.6345,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,275750,001,2024-02-28_21h00.33.186,corsi_blocks,2023.2.2,Win32,60.24096386,,,,22.6347,23.1337,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,275750,001,2024-02-28_21h00.33.186,corsi_blocks,2023.2.2,Win32,60.24096386,,,,,,,,,,,23.1339,27.034,"[0.0759259683114511,0.26851851851851855,0.5611111676251447,0.519444500958478]","[-0.05370369663944951,0.09999999293574581,-0.30833336159035013,-0.40648149560998986]","[1,1,1,1]","[0,0,0,0]","[0,0,0,0]","[1.0503999999985112,2.0328999999985093,2.983099999997769,3.8995000000000033]","[""blk7"",""blk3"",""blk9""]","[0,0,0]",0,27.0341,28.0339,1,0,1,0,1,,
,,,,,,,,,,,275750,001,2024-02-28_21h00.33.186,corsi_blocks,2023.2.2,Win32,60.24096386,28.0341,"[[-0.4075,0.11875],[-0.68625,-0.225],[0.6375,0.27375],[0.4125,-0.1325],[0.45375,0.175],[-0.01875,0.235],[-0.3575,-0.05625],[-0.285,-0.27125],[0.57875,-0.31375]]",28.5339,28.5358,29.0337,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,275750,001,2024-02-28_21h00.33.186,corsi_blocks,2023.2.2,Win32,60.24096386,,,,29.034,29.5341,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,275750,001,2024-02-28_21h00.33.186,corsi_blocks,2023.2.2,Win32,60.24096386,,,,29.5355,,2,0,2,0,1,,,,,,,,,,,,,,2,0,2,0,1,999,2
