instructions.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,participant,session,date,expName,psychopyVersion,OS,frameRate,ISI.started,positions,ISI.stopped,corsi_present.started,corsi_present.stopped,block_sequence.thisRepN,block_sequence.thisTrialN,block_sequence.thisN,block_sequence.thisIndex,block_sequence.ran
0.0006,8.4483,space,8.4244,,,,,,,,570955,001,2023-11-02_11h17.12.622,corsi_blocks,2023.2.2,Win32,59.89099838,,,,,,,,,,
,,,,,,,,,,,570955,001,2023-11-02_11h17.12.622,corsi_blocks,2023.2.2,Win32,59.89099838,8.4571,"[[0.4625,0.35875],[0.1925,-0.295],[0.25625,0.0975],[-0.18625,0.41125],[0.03125,-0.41],[-0.55125,-0.13375],[-0.45875,-0.3],[0.19375,-0.17125],[0.30125,-0.0175]]",8.9506,8.9519,9.4526,0,0,0,0,1
,,,,,,,,,,,570955,001,2023-11-02_11h17.12.622,corsi_blocks,2023.2.2,Win32,59.89099838,,,,9.4531,9.9504,1,0,1,0,1
,,,,,,,,,,,570955,001,2023-11-02_11h17.12.622,corsi_blocks,2023.2.2,Win32,59.89099838,,,,9.9508,10.4524,2,0,2,0,1
