instructions.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,participant,session,date,expName,psychopyVersion,OS,frameRate,ISI.started,positions,ISI.stopped,corsi_present.started,corsi_present.stopped,block_sequence.thisRepN,block_sequence.thisTrialN,block_sequence.thisN,block_sequence.thisIndex,block_sequence.ran,corsi_respond.started,corsi_respond.stopped,corsi_mouse.x,corsi_mouse.y,corsi_mouse.leftButton,corsi_mouse.midButton,corsi_mouse.rightButton,corsi_mouse.time,corsi_mouse.clicked_name,correct_list,corsi_correct,feedback.started,feedback.stopped,corsi_task.thisRepN,corsi_task.thisTrialN,corsi_task.thisN,corsi_task.thisIndex,corsi_task.ran,corsi_task.order,block_sequence.order
0.001,11.895,space,11.817,,,,,,,,775956,001,2024-02-21_18h27.39.749,corsi_blocks,2023.2.2,Win32,59.95203837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,775956,001,2024-02-21_18h27.39.749,corsi_blocks,2023.2.2,Win32,59.95203837,11.915,"[[-0.68625,-0.225],[0.57875,-0.31375],[-0.55125,-0.13375],[0.45375,0.175],[0.365,-0.27625],[-0.01125,-0.295],[0.28875,0.39875],[0.4625,0.35875],[0.4125,-0.1325]]",12.41,12.412,12.909,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,775956,001,2024-02-21_18h27.39.749,corsi_blocks,2023.2.2,Win32,59.95203837,,,,12.91,13.41,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,775956,001,2024-02-21_18h27.39.749,corsi_blocks,2023.2.2,Win32,59.95203837,,,,13.41,13.911,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,775956,001,2024-02-21_18h27.39.749,corsi_blocks,2023.2.2,Win32,59.95203837,,,,,,,,,,,13.911,21.182,"[-0.6762152777777778,0.5885416666666666,-0.5677083333333334,0.4149305555555556,0.5138888888888888]","[-0.22743055555555555,-0.3055555555555556,-0.1232638888888889,-0.14756944444444445,-0.4166666666666667]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[2.099999999999966,3.6189999999999714,4.867999999999995,6.351999999999975,7.267999999999972]","[""blk1"",""blk2"",""blk3"",""blk9""]","[1,1,1,0]",0,21.182,22.182,0,0,0,0,1,,
,,,,,,,,,,,775956,001,2024-02-21_18h27.39.749,corsi_blocks,2023.2.2,Win32,59.95203837,22.183,"[[-0.35125,0.36625],[0.6375,0.27375],[-0.285,-0.27125],[-0.26625,0.235],[0.4625,0.35875],[-0.68625,-0.225],[0.54,0.03625],[0.62875,-0.1825],[-0.0225,0.395]]",22.682,22.683,23.184,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,775956,001,2024-02-21_18h27.39.749,corsi_blocks,2023.2.2,Win32,59.95203837,,,,23.184,23.684,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,775956,001,2024-02-21_18h27.39.749,corsi_blocks,2023.2.2,Win32,59.95203837,,,,23.685,24.185,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,775956,001,2024-02-21_18h27.39.749,corsi_blocks,2023.2.2,Win32,59.95203837,,,,,,,,,,,24.185,28.307,"[-0.3368055555555556,0.6545138888888888,-0.2986111111111111,0.5538194444444444]","[0.3359375,0.2994791666666667,-0.2586805555555556,-0.4236111111111111]","[1,1,1,1]","[0,0,0,0]","[0,0,0,0]","[1.714999999999975,2.5849999999999795,3.366999999999962,4.118999999999971]","[""blk1"",""blk2"",""blk3""]","[1,1,1]",1,28.308,29.304,1,0,1,0,1,,
,,,,,,,,,,,775956,001,2024-02-21_18h27.39.749,corsi_blocks,2023.2.2,Win32,59.95203837,29.306,"[[0.22,0.2425],[0.1925,-0.295],[-0.09875,0.065],[-0.16125,-0.28],[0.54,0.03625],[0.4625,0.35875],[0.28875,0.39875],[-0.12125,-0.12625],[-0.485,0.34625]]",29.794,29.796,30.288,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,775956,001,2024-02-21_18h27.39.749,corsi_blocks,2023.2.2,Win32,59.95203837,,,,30.289,30.79,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,775956,001,2024-02-21_18h27.39.749,corsi_blocks,2023.2.2,Win32,59.95203837,,,,30.791,31.29,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,775956,001,2024-02-21_18h27.39.749,corsi_blocks,2023.2.2,Win32,59.95203837,,,,31.29,31.79,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,775956,001,2024-02-21_18h27.39.749,corsi_blocks,2023.2.2,Win32,59.95203837,,,,,,,,,,,31.79,36.108,"[0.2170138888888889,0.2074652777777778,-0.059895833333333336,-0.203125,-0.1762152777777778,0.640625,0.5685763888888888]","[0.21961805555555555,-0.3177083333333333,0.03298611111111111,-0.3385416666666667,-0.3003472222222222,-0.4296875,-0.4114583333333333]","[1,1,1,1,1,1,1]","[0,0,0,0,0,0,0]","[0,0,0,0,0,0,0]","[0.9390000000000214,1.5850000000000364,2.16700000000003,2.7340000000000373,3.184000000000026,3.9909999999999854,4.316000000000031]","[""blk1"",""blk2"",""blk3"",""blk4""]","[1,1,1,1]",1,36.109,37.111,2,0,2,0,1,,
,,,,,,,,,,,775956,001,2024-02-21_18h27.39.749,corsi_blocks,2023.2.2,Win32,59.95203837,37.111,"[[0.4125,-0.1325],[0.365,-0.27625],[0.25625,0.0975],[-0.675,0.29875],[0.57875,-0.31375],[-0.09875,0.065],[0.1925,-0.295],[0.05875,-0.0575],[-0.01875,0.235]]",37.609,37.611,38.111,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,775956,001,2024-02-21_18h27.39.749,corsi_blocks,2023.2.2,Win32,59.95203837,,,,38.112,38.618,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,775956,001,2024-02-21_18h27.39.749,corsi_blocks,2023.2.2,Win32,59.95203837,,,,38.619,39.112,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,775956,001,2024-02-21_18h27.39.749,corsi_blocks,2023.2.2,Win32,59.95203837,,,,39.112,39.613,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,775956,001,2024-02-21_18h27.39.749,corsi_blocks,2023.2.2,Win32,59.95203837,,,,39.613,40.112,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,
