instructions.started,instructions.stopped,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,participant,session,date,expName,psychopyVersion,OS,frameRate,ISI.started,positions,ISI.stopped,corsi_present.started,corsi_present.stopped,block_sequence.thisRepN,block_sequence.thisTrialN,block_sequence.thisN,block_sequence.thisIndex,block_sequence.ran,corsi_respond.started,corsi_respond.stopped,corsi_mouse.x,corsi_mouse.y,corsi_mouse.leftButton,corsi_mouse.midButton,corsi_mouse.rightButton,corsi_mouse.time,corsi_mouse.clicked_name,correct_list,corsi_correct,feedback.started,feedback.stopped,corsi_task.thisRepN,corsi_task.thisTrialN,corsi_task.thisN,corsi_task.thisIndex,corsi_task.ran
1E-04,19.3621,,-0.030364372,-0.120936986,1,0,0,19.3612,367796,001,2023-10-29_19h15.56.498,corsi_blocks,2023.2.2,Win32,59.89458553,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,367796,001,2023-10-29_19h15.56.498,corsi_blocks,2023.2.2,Win32,59.89458553,19.3715,"[[-0.45875,-0.3],[0.365,-0.27625],[-0.26625,0.235],[-0.4075,0.11875],[0.05875,-0.0575],[0.30125,-0.0175],[-0.16125,-0.28],[-0.12125,-0.12625],[-0.01125,-0.295]]",19.8619,19.8622,20.3529,0,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,367796,001,2023-10-29_19h15.56.498,corsi_blocks,2023.2.2,Win32,59.89458553,,,,20.3532,20.8533,1,0,1,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,367796,001,2023-10-29_19h15.56.498,corsi_blocks,2023.2.2,Win32,59.89458553,,,,20.8534,21.3452,2,0,2,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,367796,001,2023-10-29_19h15.56.498,corsi_blocks,2023.2.2,Win32,59.89458553,,,,,,,,,,,21.3453,24.7787,"[-0.4560438642617662,0.40086783590587044,-0.2714284302252024,0.4906304363297065]","[-0.32544825009488865,-0.28056694988297065,0.24320409365511134,-0.4244650651568826]","[1,1,1,1]","[0,0,0,0]","[0,0,0,0]","[1.0327999999970174,1.79939999999851,2.3742999999970174,3.4327000000029777]","[""blk1"",""blk2"",""blk3""]","[1,1,1]",1,24.7789,25.7785,0,0,0,0,1
,,,,,,,,,367796,001,2023-10-29_19h15.56.498,corsi_blocks,2023.2.2,Win32,59.89458553,25.7787,"[[-0.675,0.29875],[0.16625,0.3825],[-0.09875,0.065],[-0.01875,0.235],[0.22,0.2425],[0.19375,-0.17125],[0.25625,0.0975],[-0.35125,0.36625],[-0.18625,0.41125]]",26.2785,26.2787,26.7865,0,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,367796,001,2023-10-29_19h15.56.498,corsi_blocks,2023.2.2,Win32,59.89458553,,,,26.7867,27.2785,1,0,1,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,367796,001,2023-10-29_19h15.56.498,corsi_blocks,2023.2.2,Win32,59.89458553,,,,27.2786,27.7785,2,0,2,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,367796,001,2023-10-29_19h15.56.498,corsi_blocks,2023.2.2,Win32,59.89458553,,,,27.7787,28.2787,3,0,3,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,367796,001,2023-10-29_19h15.56.498,corsi_blocks,2023.2.2,Win32,59.89458553,,,,,,,,,,,28.2791,31.8534,"[-0.6813765182186234,0.14083286547950405,-0.09190268574455972,-0.019722312278593116,0.5327359960146761]","[0.27836899236146256,0.3764603464226974,0.047946698269863364,0.23117408906882592,-0.4142857848873988]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[1.0237999999970206,1.707099999994039,2.23989999999851,2.540499999999998,3.573799999997018]","[""blk1"",""blk2"",""blk3"",""blk4""]","[1,1,1,1]",1,31.8535,32.8527,1,0,1,0,1
,,,,,,,,,367796,001,2023-10-29_19h15.56.498,corsi_blocks,2023.2.2,Win32,59.89458553,32.8528,"[[0.05875,-0.0575],[-0.6025,0.0725],[0.4125,-0.1325],[0.1925,-0.295],[-0.675,0.29875],[0.45375,0.175],[0.16625,0.3825],[0.25625,0.0975],[-0.68625,-0.225]]",33.3527,33.353,33.8452,0,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,367796,001,2023-10-29_19h15.56.498,corsi_blocks,2023.2.2,Win32,59.89458553,,,,33.8452,34.3451,1,0,1,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,367796,001,2023-10-29_19h15.56.498,corsi_blocks,2023.2.2,Win32,59.89458553,,,,34.3453,34.8451,2,0,2,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,367796,001,2023-10-29_19h15.56.498,corsi_blocks,2023.2.2,Win32,59.89458553,,,,34.8452,35.345,3,0,3,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,367796,001,2023-10-29_19h15.56.498,corsi_blocks,2023.2.2,Win32,59.89458553,,,,35.3452,35.845,4,0,4,0,1,,,,,,,,,,,,,,,,,,
