instructions.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,participant,session,date,expName,psychopyVersion,OS,frameRate,ISI.started,positions,ISI.stopped,corsi_present.started,corsi_present.stopped,block_sequence.thisRepN,block_sequence.thisTrialN,block_sequence.thisN,block_sequence.thisIndex,block_sequence.ran,corsi_respond.started,corsi_respond.stopped,corsi_mouse.x,corsi_mouse.y,corsi_mouse.leftButton,corsi_mouse.midButton,corsi_mouse.rightButton,corsi_mouse.time,corsi_mouse.clicked_name,correct_list,corsi_correct,feedback.started,feedback.stopped,corsi_task.thisRepN,corsi_task.thisTrialN,corsi_task.thisN,corsi_task.thisIndex,corsi_task.ran,corsi_task.order
0.001,5.46,space,5.413,,,,,,,,024328,001,2024-02-03_21h18.06.513,corsi_blocks,2023.2.2,MacIntel,31.25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,024328,001,2024-02-03_21h18.06.513,corsi_blocks,2023.2.2,MacIntel,31.25,5.47,"[[0.0675,0.07375],[-0.26625,0.235],[-0.68625,-0.225],[-0.0225,0.395],[-0.285,-0.27125],[-0.18625,0.41125],[0.25625,0.0975],[-0.45875,-0.3],[0.6375,0.27375]]",5.961,5.962,6.46,0,0,0,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,024328,001,2024-02-03_21h18.06.513,corsi_blocks,2023.2.2,MacIntel,31.25,,,,6.46,6.958,1,0,1,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,024328,001,2024-02-03_21h18.06.513,corsi_blocks,2023.2.2,MacIntel,31.25,,,,6.959,7.459,2,0,2,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,024328,001,2024-02-03_21h18.06.513,corsi_blocks,2023.2.2,MacIntel,31.25,,,,,,,,,,,7.46,14.488,"[-0.25555555555555554,-0.6677777777777778,-0.4488888888888889,0.4711111111111111]","[0.23,-0.20222222222222222,-0.2911111111111111,-0.38666666666666666]","[1,1,1,1]","[0,0,0,0]","[0,0,0,0]","[3.3930000000000025,4.625000000000002,5.389999999999999,7.022]","[""blk2"",""blk3"",""blk8""]","[0,0,0]",0,14.488,15.486,0,0,0,0,1,
,,,,,,,,,,,024328,001,2024-02-03_21h18.06.513,corsi_blocks,2023.2.2,MacIntel,31.25,15.487,"[[0.4125,-0.1325],[0.54,0.03625],[0.6375,0.27375],[0.365,-0.27625],[-0.285,-0.27125],[0.05875,-0.0575],[0.30125,-0.0175],[0.45375,0.175],[0.62875,-0.1825]]",15.987,15.988,16.486,0,0,0,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,024328,001,2024-02-03_21h18.06.513,corsi_blocks,2023.2.2,MacIntel,31.25,,,,16.487,16.985,1,0,1,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,024328,001,2024-02-03_21h18.06.513,corsi_blocks,2023.2.2,MacIntel,31.25,,,,16.985,17.485,2,0,2,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,024328,001,2024-02-03_21h18.06.513,corsi_blocks,2023.2.2,MacIntel,31.25,,,,,,,,,,,17.485,20.518,"[0.42777777777777776,0.5088888888888888,0.6133333333333333,0.5122222222222222]","[-0.13777777777777778,0.021111111111111112,0.2577777777777778,-0.37555555555555553]","[1,1,1,1]","[0,0,0,0]","[0,0,0,0]","[0.46399999999999864,1.230999999999998,2.097999999999999,3.030000000000001]","[""blk1"",""blk2"",""blk3""]","[1,1,1]",1,20.518,21.516,1,0,1,0,1,
,,,,,,,,,,,024328,001,2024-02-03_21h18.06.513,corsi_blocks,2023.2.2,MacIntel,31.25,21.516,"[[-0.18625,0.41125],[-0.16125,-0.28],[-0.0225,0.395],[0.19375,-0.17125],[-0.68625,-0.225],[-0.12125,-0.12625],[-0.6025,0.0725],[0.45375,0.175],[-0.675,0.29875]]",22.016,22.017,22.516,0,0,0,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,024328,001,2024-02-03_21h18.06.513,corsi_blocks,2023.2.2,MacIntel,31.25,,,,22.516,23.014,1,0,1,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,024328,001,2024-02-03_21h18.06.513,corsi_blocks,2023.2.2,MacIntel,31.25,,,,23.014,23.514,2,0,2,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,024328,001,2024-02-03_21h18.06.513,corsi_blocks,2023.2.2,MacIntel,31.25,,,,23.514,24.014,3,0,3,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,024328,001,2024-02-03_21h18.06.513,corsi_blocks,2023.2.2,MacIntel,31.25,,,,,,,,,,,24.014,32.009,"[-0.14888888888888888,-0.03666666666666667,0.19444444444444445,-0.10777777777777778,0.5066666666666667,0.4888888888888889]","[-0.3,0.4122222222222222,-0.14555555555555555,-0.1411111111111111,-0.43222222222222223,-0.39222222222222225]","[1,1,1,1,1,1]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[1.0660000000000025,1.998000000000001,3.1959999999999944,5.029,6.128999999999994,7.993999999999996]","[""blk2"",""blk3"",""blk4"",""blk6""]","[1,1,1,1,0]",0,32.009,33.009,2,0,2,0,1,
,,,,,,,,,,,024328,001,2024-02-03_21h18.06.513,corsi_blocks,2023.2.2,MacIntel,31.25,33.009,"[[0.4125,-0.1325],[0.365,-0.27625],[-0.0225,0.395],[-0.485,0.34625],[0.4625,0.35875],[-0.45875,-0.3],[0.25625,0.0975],[0.30125,-0.0175],[0.1925,-0.295]]",33.507,33.508,34.008,0,0,0,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,024328,001,2024-02-03_21h18.06.513,corsi_blocks,2023.2.2,MacIntel,31.25,,,,34.008,34.507,1,0,1,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,024328,001,2024-02-03_21h18.06.513,corsi_blocks,2023.2.2,MacIntel,31.25,,,,34.508,35.006,2,0,2,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,024328,001,2024-02-03_21h18.06.513,corsi_blocks,2023.2.2,MacIntel,31.25,,,,35.007,35.507,3,0,3,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,024328,001,2024-02-03_21h18.06.513,corsi_blocks,2023.2.2,MacIntel,31.25,,,,,,,,,,,35.507,,,,,,,,,,,,,3,0,3,0,1,999
