instructions.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,participant,session,date,expName,psychopyVersion,OS,frameRate,ISI.started,positions,ISI.stopped,corsi_present.started,corsi_present.stopped,block_sequence.thisRepN,block_sequence.thisTrialN,block_sequence.thisN,block_sequence.thisIndex,block_sequence.ran,corsi_respond.started,corsi_respond.stopped,corsi_mouse.x,corsi_mouse.y,corsi_mouse.leftButton,corsi_mouse.midButton,corsi_mouse.rightButton,corsi_mouse.time,corsi_mouse.clicked_name,correct_list,corsi_correct,feedback.started,feedback.stopped,corsi_task.thisRepN,corsi_task.thisTrialN,corsi_task.thisN,corsi_task.thisIndex,corsi_task.ran,end.started
0,9.149,space,9.13,,,,,,,,452291,001,2024-01-03_15h07.01.929,corsi_blocks,2023.2.2,Win32,59.95203837,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,452291,001,2024-01-03_15h07.01.929,corsi_blocks,2023.2.2,Win32,59.95203837,9.154,"[[-0.26625,0.235],[-0.6025,0.0725],[0.19375,-0.17125],[-0.285,-0.27125],[0.4625,0.35875],[-0.675,0.29875],[0.45375,0.175],[0.25625,0.0975],[0.54,0.03625]]",9.648,9.649,10.148,0,0,0,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,452291,001,2024-01-03_15h07.01.929,corsi_blocks,2023.2.2,Win32,59.95203837,,,,10.148,10.649,1,0,1,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,452291,001,2024-01-03_15h07.01.929,corsi_blocks,2023.2.2,Win32,59.95203837,,,,10.649,11.147,2,0,2,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,452291,001,2024-01-03_15h07.01.929,corsi_blocks,2023.2.2,Win32,59.95203837,,,,,,,,,,,11.148,22.265,"[-0.26157407407407407,-0.5451388888888888,-0.6261574074074074,0.24768518518518517,0.2569444444444444,0.21875,0.24768518518518517,0.5092592592592593]","[0.2337962962962963,0.0625,0.0798611111111111,-0.1909722222222222,0.17708333333333334,0.006944444444444444,0.12384259259259259,-0.4131944444444444]","[1,1,1,1,1,1,1,1]","[0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0]","[0.8320000000000007,1.6649999999999991,2.4649999999999963,3.3149999999999977,9.364999999999995,9.714999999999996,10.015,11.114999999999995]","[""blk1"",""blk2"",""blk8""]","[1,1,1,0]",0,22.265,23.264,0,0,0,0,1,
,,,,,,,,,,,452291,001,2024-01-03_15h07.01.929,corsi_blocks,2023.2.2,Win32,59.95203837,23.264,"[[0.6375,0.27375],[-0.285,-0.27125],[0.57875,-0.31375],[-0.16125,-0.28],[-0.26625,0.235],[-0.55125,-0.13375],[-0.09875,0.065],[-0.01125,-0.295],[0.365,-0.27625]]",23.765,23.766,24.264,0,0,0,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,452291,001,2024-01-03_15h07.01.929,corsi_blocks,2023.2.2,Win32,59.95203837,,,,24.265,24.765,1,0,1,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,452291,001,2024-01-03_15h07.01.929,corsi_blocks,2023.2.2,Win32,59.95203837,,,,24.765,25.265,2,0,2,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,452291,001,2024-01-03_15h07.01.929,corsi_blocks,2023.2.2,Win32,59.95203837,,,,,,,,,,,25.265,29.7,"[0.6377314814814815,-0.25925925925925924,0.5972222222222222,0.5069444444444444,0.4837962962962963]","[0.2800925925925926,-0.2534722222222222,-0.30787037037037035,-0.4513888888888889,-0.39699074074074076]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[1.6159999999999997,2.3659999999999997,3.2659999999999982,3.9819999999999993,4.433]","[""blk1"",""blk2"",""blk3""]","[1,1,1]",1,29.7,30.698,1,0,1,0,1,
,,,,,,,,,,,452291,001,2024-01-03_15h07.01.929,corsi_blocks,2023.2.2,Win32,59.95203837,30.701,"[[-0.68625,-0.225],[-0.45875,-0.3],[0.05875,-0.0575],[-0.55125,-0.13375],[-0.26625,0.235],[0.57875,-0.31375],[-0.3575,-0.05625],[-0.18625,0.41125],[0.45375,0.175]]",31.197,31.2,31.698,0,0,0,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,452291,001,2024-01-03_15h07.01.929,corsi_blocks,2023.2.2,Win32,59.95203837,,,,31.698,32.198,1,0,1,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,452291,001,2024-01-03_15h07.01.929,corsi_blocks,2023.2.2,Win32,59.95203837,,,,32.198,32.698,2,0,2,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,452291,001,2024-01-03_15h07.01.929,corsi_blocks,2023.2.2,Win32,59.95203837,,,,32.698,33.198,3,0,3,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,452291,001,2024-01-03_15h07.01.929,corsi_blocks,2023.2.2,Win32,59.95203837,,,,,,,,,,,33.198,37.415,"[-0.7106481481481481,-0.4583333333333333,0.09722222222222222,-0.5601851851851852,0.4791666666666667]","[-0.22337962962962962,-0.3020833333333333,-0.03356481481481482,-0.13310185185185186,-0.38310185185185186]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[1.0649999999999977,1.681999999999995,2.433,3.164999999999999,4.214999999999996]","[""blk1"",""blk2"",""blk3"",""blk4""]","[1,1,1,1]",1,37.415,38.415,2,0,2,0,1,
,,,,,,,,,,,452291,001,2024-01-03_15h07.01.929,corsi_blocks,2023.2.2,Win32,59.95203837,38.416,"[[-0.485,0.34625],[-0.09875,0.065],[-0.0225,0.395],[-0.35125,0.36625],[0.03125,-0.41],[0.57875,-0.31375],[-0.6025,0.0725],[-0.675,0.29875],[-0.45875,-0.3]]",38.915,38.916,39.415,0,0,0,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,452291,001,2024-01-03_15h07.01.929,corsi_blocks,2023.2.2,Win32,59.95203837,,,,39.416,39.915,1,0,1,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,452291,001,2024-01-03_15h07.01.929,corsi_blocks,2023.2.2,Win32,59.95203837,,,,39.916,40.414,2,0,2,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,452291,001,2024-01-03_15h07.01.929,corsi_blocks,2023.2.2,Win32,59.95203837,,,,40.414,40.915,3,0,3,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,452291,001,2024-01-03_15h07.01.929,corsi_blocks,2023.2.2,Win32,59.95203837,,,,40.916,41.414,4,0,4,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,452291,001,2024-01-03_15h07.01.929,corsi_blocks,2023.2.2,Win32,59.95203837,,,,,,,,,,,41.414,47.482,"[-0.34375,-0.1099537037037037,-0.03935185185185185,-0.4826388888888889,0.06712962962962964,0.42824074074074076,0.4837962962962963]","[0.3680555555555556,0.06712962962962964,0.38657407407407407,0.3472222222222222,-0.4131944444444444,-0.42824074074074076,-0.3993055555555556]","[1,1,1,1,1,1,1]","[0,0,0,0,0,0,0]","[0,0,0,0,0,0,0]","[1.2490000000000094,2.315000000000012,3.082000000000008,3.832000000000008,4.582000000000008,5.249000000000009,6.065000000000012]","[""blk4"",""blk2"",""blk3"",""blk1"",""blk5""]","[0,1,1,0,1]",0,47.482,48.482,3,0,3,0,1,
,,,,,,,,,,,452291,001,2024-01-03_15h07.01.929,corsi_blocks,2023.2.2,Win32,59.95203837,48.482,"[[-0.68625,-0.225],[-0.675,0.29875],[0.30125,-0.0175],[-0.55125,-0.13375],[0.1925,-0.295],[0.28875,0.39875],[0.57875,-0.31375],[-0.18625,0.41125],[0.19375,-0.17125]]",48.982,48.984,49.482,0,0,0,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,452291,001,2024-01-03_15h07.01.929,corsi_blocks,2023.2.2,Win32,59.95203837,,,,49.482,49.982,1,0,1,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,452291,001,2024-01-03_15h07.01.929,corsi_blocks,2023.2.2,Win32,59.95203837,,,,49.982,50.482,2,0,2,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,452291,001,2024-01-03_15h07.01.929,corsi_blocks,2023.2.2,Win32,59.95203837,,,,50.483,50.982,3,0,3,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,452291,001,2024-01-03_15h07.01.929,corsi_blocks,2023.2.2,Win32,59.95203837,,,,50.982,51.481,4,0,4,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,452291,001,2024-01-03_15h07.01.929,corsi_blocks,2023.2.2,Win32,59.95203837,,,,,,,,,,,51.481,56.148,"[-0.6504629629629629,-0.6597222222222222,0.30324074074074076,-0.5370370370370371,0.15856481481481483,0.48148148148148145]","[-0.23148148148148148,0.30324074074074076,-0.020833333333333332,-0.11342592592592593,-0.2916666666666667,-0.3958333333333333]","[1,1,1,1,1,1]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[1.0330000000000013,1.698999999999998,2.399000000000001,3.200000000000003,3.916000000000011,4.665000000000006]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]","[1,1,1,1,1]",1,56.149,57.148,4,0,4,0,1,
,,,,,,,,,,,452291,001,2024-01-03_15h07.01.929,corsi_blocks,2023.2.2,Win32,59.95203837,57.148,"[[-0.35125,0.36625],[-0.3575,-0.05625],[-0.09875,0.065],[-0.18625,0.41125],[0.25625,0.0975],[0.54,0.03625],[-0.55125,-0.13375],[0.03125,-0.41],[-0.01875,0.235]]",57.647,57.648,58.147,0,0,0,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,452291,001,2024-01-03_15h07.01.929,corsi_blocks,2023.2.2,Win32,59.95203837,,,,58.148,58.648,1,0,1,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,452291,001,2024-01-03_15h07.01.929,corsi_blocks,2023.2.2,Win32,59.95203837,,,,58.648,59.147,2,0,2,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,452291,001,2024-01-03_15h07.01.929,corsi_blocks,2023.2.2,Win32,59.95203837,,,,59.149,59.648,3,0,3,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,452291,001,2024-01-03_15h07.01.929,corsi_blocks,2023.2.2,Win32,59.95203837,,,,59.648,60.148,4,0,4,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,452291,001,2024-01-03_15h07.01.929,corsi_blocks,2023.2.2,Win32,59.95203837,,,,60.148,60.648,5,0,5,0,1,,,,,,,,,,,,,,,,,,,
