instructions.started,instructions.stopped,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,participant,session,date,expName,psychopyVersion,OS,frameRate,ISI.started,positions,ISI.stopped,corsi_present.started,corsi_present.stopped,block_sequence.thisRepN,block_sequence.thisTrialN,block_sequence.thisN,block_sequence.thisIndex,block_sequence.ran,corsi_respond.started,corsi_respond.stopped,corsi_mouse.x,corsi_mouse.y,corsi_mouse.leftButton,corsi_mouse.midButton,corsi_mouse.rightButton,corsi_mouse.time,corsi_mouse.clicked_name,correct_list,corsi_correct,feedback.started,feedback.stopped,corsi_task.thisRepN,corsi_task.thisTrialN,corsi_task.thisN,corsi_task.thisIndex,corsi_task.ran,corsi_task.order,block_sequence.order
0.0005,0.7848,,-0.000925926,-0.07037037,1,0,0,0.7809,079810,001,2023-11-15_16h18.16.776,corsi_blocks,2023.2.2,Win32,59.73715651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,079810,001,2023-11-15_16h18.16.776,corsi_blocks,2023.2.2,Win32,59.73715651,0.7926,"[[-0.01125,-0.295],[0.45375,0.175],[-0.26625,0.235],[-0.285,-0.27125],[-0.24625,0.04375],[0.05875,-0.0575],[-0.01875,0.235],[0.365,-0.27625],[-0.55125,-0.13375]]",1.2852,1.2884,1.7857,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,079810,001,2023-11-15_16h18.16.776,corsi_blocks,2023.2.2,Win32,59.73715651,,,,1.7871,2.286,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,079810,001,2023-11-15_16h18.16.776,corsi_blocks,2023.2.2,Win32,59.73715651,,,,2.2868,2.7856,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,079810,001,2023-11-15_16h18.16.776,corsi_blocks,2023.2.2,Win32,59.73715651,,,,,,,,,,,2.7869,6.3049,"[-0.01574074074074074,0.425,0.4462962962962963,-0.20925925925925926,-0.25,0.5324074074074074]","[-0.31574074074074077,0.24259259259259258,0.17314814814814813,0.2101851851851852,0.2101851851851852,-0.37592592592592594]","[1,1,1,1,1,1]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[0.6452999999970199,1.1282999999970196,1.4610999999977645,2.161299999997019,2.52839999999851,3.511499999999999]","[""blk1"",""blk2"",""blk3""]","[1,1,1]",1,6.3075,7.3024,0,0,0,0,1,,
,,,,,,,,,079810,001,2023-11-15_16h18.16.776,corsi_blocks,2023.2.2,Win32,59.73715651,7.3038,"[[0.0675,0.07375],[-0.09875,0.065],[0.25625,0.0975],[0.28875,0.39875],[0.16625,0.3825],[0.19375,-0.17125],[0.30125,-0.0175],[-0.01125,-0.295],[0.57875,-0.31375]]",7.8012,7.8028,8.3019,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,079810,001,2023-11-15_16h18.16.776,corsi_blocks,2023.2.2,Win32,59.73715651,,,,8.3028,8.8027,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,079810,001,2023-11-15_16h18.16.776,corsi_blocks,2023.2.2,Win32,59.73715651,,,,8.8038,9.3019,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,079810,001,2023-11-15_16h18.16.776,corsi_blocks,2023.2.2,Win32,59.73715651,,,,9.3029,9.8022,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,079810,001,2023-11-15_16h18.16.776,corsi_blocks,2023.2.2,Win32,59.73715651,,,,,,,,,,,9.8025,13.0688,"[0.06759259259259259,-0.03333333333333333,-0.08148148148148149,0.2175925925925926,0.30925925925925923,0.48333333333333334,0.4842592592592593]","[0.06296296296296296,0.04814814814814815,0.04722222222222222,0.1,0.3990740740740741,-0.43796296296296294,-0.3888888888888889]","[1,1,1,1,1,1,1]","[0,0,0,0,0,0,0]","[0,0,0,0,0,0,0]","[0.4981999999992546,0.9154999999999998,1.2311999999992551,1.6143000000007444,2.047300000000746,2.7643000000007447,3.2641999999992564]","[""blk1"",""blk2"",""blk3"",""blk4""]","[1,1,1,1]",1,13.0703,14.0685,1,0,1,0,1,,
,,,,,,,,,079810,001,2023-11-15_16h18.16.776,corsi_blocks,2023.2.2,Win32,59.73715651,14.0695,"[[-0.4075,0.11875],[0.25625,0.0975],[-0.3575,-0.05625],[0.57875,-0.31375],[-0.45875,-0.3],[0.54,0.03625],[0.22,0.2425],[0.03125,-0.41],[-0.285,-0.27125]]",14.5686,14.5714,,0,0,0,0,1,,,,,,,,,,,,,,2,0,2,0,1,999,4
