instructions.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,participant,session,date,expName,psychopyVersion,OS,frameRate,ISI.started,positions,ISI.stopped,corsi_present.started,corsi_present.stopped,block_sequence.thisRepN,block_sequence.thisTrialN,block_sequence.thisN,block_sequence.thisIndex,block_sequence.ran,corsi_respond.started,corsi_respond.stopped,corsi_mouse.x,corsi_mouse.y,corsi_mouse.leftButton,corsi_mouse.midButton,corsi_mouse.rightButton,corsi_mouse.time,corsi_mouse.clicked_name,correct_list,corsi_correct,feedback.started,feedback.stopped,corsi_task.thisRepN,corsi_task.thisTrialN,corsi_task.thisN,corsi_task.thisIndex,corsi_task.ran
0.0001,6.0293,space,5.9653,,,,,,,,412348,001,2023-11-26_20h40.22.583,corsi_blocks,2023.2.2,MacIntel,60.0024001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,412348,001,2023-11-26_20h40.22.583,corsi_blocks,2023.2.2,MacIntel,60.0024001,6.0376,"[[0.05875,-0.0575],[-0.01125,-0.295],[0.30125,-0.0175],[-0.09875,0.065],[0.6375,0.27375],[-0.4075,0.11875],[0.03125,-0.41],[-0.24625,0.04375],[-0.3575,-0.05625]]",6.5288,6.5306,7.0302,0,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,412348,001,2023-11-26_20h40.22.583,corsi_blocks,2023.2.2,MacIntel,60.0024001,,,,7.0308,7.5297,1,0,1,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,412348,001,2023-11-26_20h40.22.583,corsi_blocks,2023.2.2,MacIntel,60.0024001,,,,7.53,8.0179,2,0,2,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,412348,001,2023-11-26_20h40.22.583,corsi_blocks,2023.2.2,MacIntel,60.0024001,,,,,,,,,,,8.0182,11.762,"[0.023513658311631946,-0.005974595811631944,0.2629332817925347,0.47720513237847223]","[-0.10625773111979167,-0.2848209635416667,-0.03698601616753472,-0.39518296983506945]","[1,1,1,1]","[0,0,0,0]","[0,0,0,0]","[1.1929000000022363,1.8255,2.4946000000014923,3.7421000000014946]","[""blk1"",""blk2"",""blk3""]","[1,1,1]",1,11.7625,12.761,0,0,0,0,1
,,,,,,,,,,,412348,001,2023-11-26_20h40.22.583,corsi_blocks,2023.2.2,MacIntel,60.0024001,12.7615,"[[-0.16125,-0.28],[-0.26625,0.235],[0.1925,-0.295],[0.25625,0.0975],[0.57875,-0.31375],[-0.35125,0.36625],[0.45375,0.175],[0.19375,-0.17125],[-0.18625,0.41125]]",13.2607,13.2617,13.762,0,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,412348,001,2023-11-26_20h40.22.583,corsi_blocks,2023.2.2,MacIntel,60.0024001,,,,13.7626,14.2614,1,0,1,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,412348,001,2023-11-26_20h40.22.583,corsi_blocks,2023.2.2,MacIntel,60.0024001,,,,14.2618,14.7608,2,0,2,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,412348,001,2023-11-26_20h40.22.583,corsi_blocks,2023.2.2,MacIntel,60.0024001,,,,14.7612,15.2616,3,0,3,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,412348,001,2023-11-26_20h40.22.583,corsi_blocks,2023.2.2,MacIntel,60.0024001,,,,,,,,,,,15.2616,20.164,"[-0.14737535264756946,-0.2691842312282986,0.15475938585069443,0.234984130859375,0.48297376844618056]","[-0.28120395236545137,0.2027716064453125,-0.3041753472222222,0.05104081895616319,-0.4048885769314236]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[2.0674000000022303,2.681900000002237,3.431999999999995,4.084300000000745,4.901499999999999]","[""blk1"",""blk2"",""blk3"",""blk4""]","[1,1,1,1]",1,20.1642,21.1608,1,0,1,0,1
,,,,,,,,,,,412348,001,2023-11-26_20h40.22.583,corsi_blocks,2023.2.2,MacIntel,60.0024001,21.1613,"[[-0.675,0.29875],[0.54,0.03625],[-0.24625,0.04375],[-0.55125,-0.13375],[0.0675,0.07375],[-0.01875,0.235],[-0.01125,-0.295],[0.57875,-0.31375],[-0.16125,-0.28]]",21.6645,21.6655,22.1647,0,0,0,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,412348,001,2023-11-26_20h40.22.583,corsi_blocks,2023.2.2,MacIntel,60.0024001,,,,22.165,22.6618,1,0,1,0,1,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,412348,001,2023-11-26_20h40.22.583,corsi_blocks,2023.2.2,MacIntel,60.0024001,,,,22.6625,23.1632,2,0,2,0,1,,,,,,,,,,,,,,,,,,
