instructions.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,participant,session,date,expName,psychopyVersion,OS,frameRate,ISI.started,positions,ISI.stopped,corsi_present.started,corsi_present.stopped,block_sequence.thisRepN,block_sequence.thisTrialN,block_sequence.thisN,block_sequence.thisIndex,block_sequence.ran,corsi_respond.started,corsi_respond.stopped,corsi_mouse.x,corsi_mouse.y,corsi_mouse.leftButton,corsi_mouse.midButton,corsi_mouse.rightButton,corsi_mouse.time,corsi_mouse.clicked_name,correct_list,corsi_correct,feedback.started,feedback.stopped,corsi_task.thisRepN,corsi_task.thisTrialN,corsi_task.thisN,corsi_task.thisIndex,corsi_task.ran,end.started
0.0004,7.9693,right,7.9463,,,,,,,,678074,001,2023-11-17_10h54.22.121,corsi_blocks,2023.2.2,Win32,60.13229104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,678074,001,2023-11-17_10h54.22.121,corsi_blocks,2023.2.2,Win32,60.13229104,8.0093,"[[-0.01875,0.235],[0.22,0.2425],[-0.55125,-0.13375],[-0.35125,0.36625],[-0.09875,0.065],[0.6375,0.27375],[-0.01125,-0.295],[-0.45875,-0.3],[0.62875,-0.1825]]",8.4727,8.4761,8.9885,0,0,0,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,678074,001,2023-11-17_10h54.22.121,corsi_blocks,2023.2.2,Win32,60.13229104,,,,8.9892,9.4736,1,0,1,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,678074,001,2023-11-17_10h54.22.121,corsi_blocks,2023.2.2,Win32,60.13229104,,,,9.4742,9.9638,2,0,2,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,678074,001,2023-11-17_10h54.22.121,corsi_blocks,2023.2.2,Win32,60.13229104,,,,,,,,,,,9.9645,13.0889,"[0,0.21388888888888888,-0.5157407407407407,0.5083333333333333]","[0.22314814814814815,0.26481481481481484,-0.11296296296296296,-0.3962962962962963]","[1,1,1,1]","[0,0,0,0]","[0,0,0,0]","[0.5391999998092629,1.284599999904632,2.099300000190734,3.1201999998092678]","[""blk1"",""blk2"",""blk3""]","[1,1,1]",1,13.0901,14.0908,0,0,0,0,1,
,,,,,,,,,,,678074,001,2023-11-17_10h54.22.121,corsi_blocks,2023.2.2,Win32,60.13229104,14.0916,"[[0.22,0.2425],[0.05875,-0.0575],[-0.485,0.34625],[0.365,-0.27625],[0.4125,-0.1325],[-0.01875,0.235],[-0.68625,-0.225],[0.28875,0.39875],[-0.18625,0.41125]]",14.5726,14.574,15.0715,0,0,0,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,678074,001,2023-11-17_10h54.22.121,corsi_blocks,2023.2.2,Win32,60.13229104,,,,15.072,15.5712,1,0,1,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,678074,001,2023-11-17_10h54.22.121,corsi_blocks,2023.2.2,Win32,60.13229104,,,,15.5716,16.0669,2,0,2,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,678074,001,2023-11-17_10h54.22.121,corsi_blocks,2023.2.2,Win32,60.13229104,,,,16.0673,16.5755,3,0,3,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,678074,001,2023-11-17_10h54.22.121,corsi_blocks,2023.2.2,Win32,60.13229104,,,,,,,,,,,16.5757,22.6355,"[-0.49537037037037035,0.3712962962962963,0.032407407407407406,0.7481481481481481,-0.013888888888888888,0.5361111111111111]","[0.35,-0.29444444444444445,-0.075,-0.40185185185185185,0.2537037037037037,-0.4074074074074074]","[1,1,1,1,1,1]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[0.4280000000000008,1.2240999999046345,2.281199999809264,3.828699999809267,4.8616999998092645,6.057799999713897]","[""blk3"",""blk4"",""blk2"",""blk6""]","[0,0,0,0]",0,22.6362,23.636,1,0,1,0,1,
,,,,,,,,,,,678074,001,2023-11-17_10h54.22.121,corsi_blocks,2023.2.2,Win32,60.13229104,23.6367,"[[0.4125,-0.1325],[0.4625,0.35875],[0.05875,-0.0575],[-0.01125,-0.295],[0.62875,-0.1825],[-0.16125,-0.28],[0.1925,-0.295],[0.30125,-0.0175],[-0.485,0.34625]]",24.1234,24.1263,24.6308,0,0,0,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,678074,001,2023-11-17_10h54.22.121,corsi_blocks,2023.2.2,Win32,60.13229104,,,,24.6319,25.128,1,0,1,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,678074,001,2023-11-17_10h54.22.121,corsi_blocks,2023.2.2,Win32,60.13229104,,,,25.1284,25.6257,2,0,2,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,678074,001,2023-11-17_10h54.22.121,corsi_blocks,2023.2.2,Win32,60.13229104,,,,25.6262,26.1202,3,0,3,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,678074,001,2023-11-17_10h54.22.121,corsi_blocks,2023.2.2,Win32,60.13229104,,,,,,,,,,,26.1204,33.1111,"[0.49722222222222223,0.07037037037037037,0.023148148148148147,0.4083333333333333,0.5,0.4703703703703704]","[0.35185185185185186,-0.05462962962962963,-0.275,-0.1111111111111111,-0.4287037037037037,-0.39814814814814814]","[1,1,1,1,1,1]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[0.35729999971390214,1.0990000000000038,1.587299999713899,3.844199999809266,4.641699999809266,6.989099999904635]","[""blk2"",""blk3"",""blk4"",""blk1""]","[0,0,0,0]",0,33.1118,34.1073,2,0,2,0,1,
,,,,,,,,,,,678074,001,2023-11-17_10h54.22.121,corsi_blocks,2023.2.2,Win32,60.13229104,34.1079,"[[0.6375,0.27375],[0.25625,0.0975],[0.28875,0.39875],[-0.0225,0.395],[-0.35125,0.36625],[-0.12125,-0.12625],[0.62875,-0.1825],[-0.68625,-0.225],[-0.285,-0.27125]]",34.5966,34.5986,35.0849,0,0,0,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,678074,001,2023-11-17_10h54.22.121,corsi_blocks,2023.2.2,Win32,60.13229104,,,,35.0854,35.5867,1,0,1,0,1,,,,,,,,,,,,,,,,,,,
