instructions.started,instructions.stopped,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,participant,session,date,expName,psychopyVersion,OS,frameRate,ISI.started,positions,ISI.stopped,corsi_present.started,corsi_present.stopped,block_sequence.thisRepN,block_sequence.thisTrialN,block_sequence.thisN,block_sequence.thisIndex,block_sequence.ran,corsi_respond.started,corsi_respond.stopped,corsi_mouse.x,corsi_mouse.y,corsi_mouse.leftButton,corsi_mouse.midButton,corsi_mouse.rightButton,corsi_mouse.time,corsi_mouse.clicked_name,correct_list,corsi_correct,feedback.started,feedback.stopped,corsi_task.thisRepN,corsi_task.thisTrialN,corsi_task.thisN,corsi_task.thisIndex,corsi_task.ran,corsi_task.order,block_sequence.order
0.0003,2.5709,,-0.119444444,-0.214814815,1,0,0,2.5686,908777,001,2024-01-30_22h11.07.189,corsi_blocks,2023.2.2,Win32,17.42160279,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,908777,001,2024-01-30_22h11.07.189,corsi_blocks,2023.2.2,Win32,17.42160279,2.5737,"[[0.4125,-0.1325],[-0.18625,0.41125],[-0.6025,0.0725],[0.05875,-0.0575],[0.1925,-0.295],[0.57875,-0.31375],[0.25625,0.0975],[0.16625,0.3825],[-0.09875,0.065]]",3.0723,3.0729,3.5891,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,908777,001,2024-01-30_22h11.07.189,corsi_blocks,2023.2.2,Win32,17.42160279,,,,3.5894,4.1075,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,908777,001,2024-01-30_22h11.07.189,corsi_blocks,2023.2.2,Win32,17.42160279,,,,4.1077,4.6171,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,908777,001,2024-01-30_22h11.07.189,corsi_blocks,2023.2.2,Win32,17.42160279,,,,,,,,,,,4.6175,7.5223,"[0.4027777777777778,-0.22685185185185186,-0.5851851851851851,0.4759259259259259]","[-0.14166666666666666,0.41574074074074074,0.09259259259259259,-0.3907407407407407]","[1,1,1,1]","[0,0,0,0]","[0,0,0,0]","[0.6565999999996279,1.155299999999814,1.6628999999994427,2.9033999999994418]","[""blk1"",""blk2"",""blk3""]","[1,1,1]",1,7.5226,8.5224,0,0,0,0,1,,
,,,,,,,,,908777,001,2024-01-30_22h11.07.189,corsi_blocks,2023.2.2,Win32,17.42160279,8.5226,"[[0.62875,-0.1825],[0.4625,0.35875],[0.57875,-0.31375],[0.30125,-0.0175],[-0.675,0.29875],[-0.0225,0.395],[-0.16125,-0.28],[0.1925,-0.295],[-0.485,0.34625]]",8.9938,8.9942,9.4827,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,908777,001,2024-01-30_22h11.07.189,corsi_blocks,2023.2.2,Win32,17.42160279,,,,9.483,9.98,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,908777,001,2024-01-30_22h11.07.189,corsi_blocks,2023.2.2,Win32,17.42160279,,,,9.9803,10.498,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,908777,001,2024-01-30_22h11.07.189,corsi_blocks,2023.2.2,Win32,17.42160279,,,,10.4981,10.9896,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,908777,001,2024-01-30_22h11.07.189,corsi_blocks,2023.2.2,Win32,17.42160279,,,,,,,,,,,10.9897,14.5612,"[0.44907407407407407,0.6287037037037037,0.3111111111111111,0.5592592592592592,0.4824074074074074]","[0.36018518518518516,-0.20277777777777778,0.001851851851851852,-0.33055555555555555,-0.42407407407407405]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[1.1389999999999993,1.7178999999994424,2.600999999999999,2.9818999999994418,3.5710000000000015]","[""blk2"",""blk1"",""blk4"",""blk3""]","[0,0,0,0]",0,14.5613,15.5261,1,0,1,0,1,,
,,,,,,,,,908777,001,2024-01-30_22h11.07.189,corsi_blocks,2023.2.2,Win32,17.42160279,15.5262,"[[-0.485,0.34625],[-0.4075,0.11875],[-0.09875,0.065],[-0.24625,0.04375],[0.16625,0.3825],[-0.55125,-0.13375],[-0.0225,0.395],[0.4125,-0.1325],[-0.675,0.29875]]",16.0284,16.0288,16.5436,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,908777,001,2024-01-30_22h11.07.189,corsi_blocks,2023.2.2,Win32,17.42160279,,,,16.5438,17.0565,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,908777,001,2024-01-30_22h11.07.189,corsi_blocks,2023.2.2,Win32,17.42160279,,,,17.0567,,2,0,2,0,1,,,,,,,,,,,,,,2,0,2,0,1,999,3
