instructions.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,participant,session,date,expName,psychopyVersion,OS,frameRate,ISI.started,positions,ISI.stopped,corsi_present.started,corsi_present.stopped,block_sequence.thisRepN,block_sequence.thisTrialN,block_sequence.thisN,block_sequence.thisIndex,block_sequence.ran,corsi_respond.started,corsi_respond.stopped,corsi_mouse.x,corsi_mouse.y,corsi_mouse.leftButton,corsi_mouse.midButton,corsi_mouse.rightButton,corsi_mouse.time,corsi_mouse.clicked_name,correct_list,corsi_correct,feedback.started,feedback.stopped,corsi_task.thisRepN,corsi_task.thisTrialN,corsi_task.thisN,corsi_task.thisIndex,corsi_task.ran,corsi_task.order,block_sequence.order
0.0001,13.1666,space,13.153,,,,,,,,144081,001,2023-10-24_20h24.32.091,corsi_blocks,2023.2.2,Win32,60.08171113,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,144081,001,2023-10-24_20h24.32.091,corsi_blocks,2023.2.2,Win32,60.08171113,13.1723,"[[-0.3575,-0.05625],[0.1925,-0.295],[0.6375,0.27375],[0.365,-0.27625],[-0.0225,0.395],[0.03125,-0.41],[0.54,0.03625],[0.62875,-0.1825],[0.16625,0.3825]]",13.671,13.6734,14.1695,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,144081,001,2023-10-24_20h24.32.091,corsi_blocks,2023.2.2,Win32,60.08171113,,,,14.1701,14.6712,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,144081,001,2023-10-24_20h24.32.091,corsi_blocks,2023.2.2,Win32,60.08171113,,,,14.672,15.1695,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,144081,001,2023-10-24_20h24.32.091,corsi_blocks,2023.2.2,Win32,60.08171113,,,,,,,,,,,15.1699,20.5882,"[-0.3712962680392795,0.20185190836588543,0.6314815945095487,0.5009259541829427]","[-0.0574074215359158,-0.3277777777777778,0.2435185114542643,-0.3981481764051649]","[1,1,1,1]","[0,0,0,0]","[0,0,0,0]","[1.4032000000476827,2.400299999952317,3.699200000047682,5.417100000023844]","[""blk1"",""blk2"",""blk3""]","[1,1,1]",1,20.5886,21.58,0,0,0,0,1,,
,,,,,,,,,,,144081,001,2023-10-24_20h24.32.091,corsi_blocks,2023.2.2,Win32,60.08171113,21.5815,"[[0.25625,0.0975],[-0.01875,0.235],[-0.09875,0.065],[0.4125,-0.1325],[0.365,-0.27625],[0.0675,0.07375],[-0.3575,-0.05625],[0.03125,-0.41],[-0.12125,-0.12625]]",22.0878,22.0884,22.5789,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,144081,001,2023-10-24_20h24.32.091,corsi_blocks,2023.2.2,Win32,60.08171113,,,,22.5795,23.0791,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,144081,001,2023-10-24_20h24.32.091,corsi_blocks,2023.2.2,Win32,60.08171113,,,,23.08,23.5788,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,144081,001,2023-10-24_20h24.32.091,corsi_blocks,2023.2.2,Win32,60.08171113,,,,23.5794,24.0783,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,144081,001,2023-10-24_20h24.32.091,corsi_blocks,2023.2.2,Win32,60.08171113,,,,,,,,,,,24.0785,29.412,"[0.2675926208496094,-0.012036980523003473,-0.08981475830078126,0.44074079725477433,0.4712963528103299]","[0.075,0.2509259117974175,0.10370368957519531,-0.11759262084960938,-0.38148150973849826]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[0.8981999999284653,1.7151999999284726,2.582099999904628,4.030999999999992,5.331699999928475]","[""blk1"",""blk2"",""blk3"",""blk4""]","[1,1,1,1]",1,29.4128,30.4115,1,0,1,0,1,,
,,,,,,,,,,,144081,001,2023-10-24_20h24.32.091,corsi_blocks,2023.2.2,Win32,60.08171113,30.4124,"[[0.05875,-0.0575],[0.22,0.2425],[-0.6025,0.0725],[-0.18625,0.41125],[-0.68625,-0.225],[0.6375,0.27375],[0.62875,-0.1825],[-0.45875,-0.3],[-0.4075,0.11875]]",30.9118,30.9161,31.4115,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,144081,001,2023-10-24_20h24.32.091,corsi_blocks,2023.2.2,Win32,60.08171113,,,,31.4122,31.9116,1,0,1,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,144081,001,2023-10-24_20h24.32.091,corsi_blocks,2023.2.2,Win32,60.08171113,,,,31.9123,32.4117,2,0,2,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,144081,001,2023-10-24_20h24.32.091,corsi_blocks,2023.2.2,Win32,60.08171113,,,,32.4124,32.9115,3,0,3,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,144081,001,2023-10-24_20h24.32.091,corsi_blocks,2023.2.2,Win32,60.08171113,,,,32.9122,33.4113,4,0,4,0,1,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,144081,001,2023-10-24_20h24.32.091,corsi_blocks,2023.2.2,Win32,60.08171113,,,,,,,,,,,33.4116,40.4117,"[0.09166666666666666,0.18333333333333332,-0.5944444444444444,-0.15833333333333333,-0.6777777777777778,0.45555555555555555]","[-0.06574075486924913,0.2,0.10370368957519531,0.41944444444444445,-0.2120370652940538,-0.40740746392144095]","[1,1,1,1,1,1]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[1.164999999999992,2.131100000023835,3.364799999952311,4.531600000023843,5.598100000023834,6.9979999999999905]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]","[1,1,1,1,1]",1,40.4126,41.4107,2,0,2,0,1,,
