instructions.started,instructions.stopped,key_resp.keys,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,participant,session,date,expName,psychopyVersion,OS,frameRate,ISI.started,positions,ISI.stopped,corsi_present.started,corsi_present.stopped,block_sequence.thisRepN,block_sequence.thisTrialN,block_sequence.thisN,block_sequence.thisIndex,block_sequence.ran,corsi_respond.started,corsi_respond.stopped,corsi_mouse.x,corsi_mouse.y,corsi_mouse.leftButton,corsi_mouse.midButton,corsi_mouse.rightButton,corsi_mouse.time,corsi_mouse.clicked_name,correct_list,corsi_correct,feedback.started,feedback.stopped,corsi_task.thisRepN,corsi_task.thisTrialN,corsi_task.thisN,corsi_task.thisIndex,corsi_task.ran,corsi_task.order
0,5.438,,0.545833333,0.115277778,1,0,0,5.43,406843,001,2023-11-28_15h10.03.124,corsi_blocks,2023.2.2,Win32,30.0120048,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,406843,001,2023-11-28_15h10.03.124,corsi_blocks,2023.2.2,Win32,30.0120048,5.451,"[[-0.0225,0.395],[-0.01875,0.235],[-0.675,0.29875],[0.16625,0.3825],[0.19375,-0.17125],[0.22,0.2425],[-0.18625,0.41125],[0.1925,-0.295],[-0.45875,-0.3]]",5.939,5.942,6.444,0,0,0,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,406843,001,2023-11-28_15h10.03.124,corsi_blocks,2023.2.2,Win32,30.0120048,,,,6.444,6.939,1,0,1,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,406843,001,2023-11-28_15h10.03.124,corsi_blocks,2023.2.2,Win32,30.0120048,,,,6.94,7.438,2,0,2,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,406843,001,2023-11-28_15h10.03.124,corsi_blocks,2023.2.2,Win32,30.0120048,,,,,,,,,,,7.438,10.467,"[-0.03333333333333333,-0.030555555555555555,-0.6430555555555556,0.4736111111111111]","[0.4083333333333333,0.25,0.33194444444444443,-0.38472222222222224]","[1,1,1,1]","[0,0,0,0]","[0,0,0,0]","[0.8830000000000009,1.2479999999999993,1.9169999999999998,3.0250000000000004]","[""blk1"",""blk2"",""blk3""]","[1,1,1]",1,10.469,11.457,0,0,0,0,1,
,,,,,,,,,406843,001,2023-11-28_15h10.03.124,corsi_blocks,2023.2.2,Win32,30.0120048,11.457,"[[0.62875,-0.1825],[0.05875,-0.0575],[-0.24625,0.04375],[-0.12125,-0.12625],[-0.09875,0.065],[0.45375,0.175],[0.1925,-0.295],[0.54,0.03625],[0.03125,-0.41]]",11.961,11.962,12.454,0,0,0,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,406843,001,2023-11-28_15h10.03.124,corsi_blocks,2023.2.2,Win32,30.0120048,,,,12.455,12.976,1,0,1,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,406843,001,2023-11-28_15h10.03.124,corsi_blocks,2023.2.2,Win32,30.0120048,,,,12.976,13.47,2,0,2,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,406843,001,2023-11-28_15h10.03.124,corsi_blocks,2023.2.2,Win32,30.0120048,,,,13.47,13.954,3,0,3,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,406843,001,2023-11-28_15h10.03.124,corsi_blocks,2023.2.2,Win32,30.0120048,,,,,,,,,,,13.954,24.999,"[0.6736111111111112,-0.09583333333333334,-0.25277777777777777,-0.23333333333333334,0.05555555555555555,0.05416666666666667,0.008333333333333333,-0.12222222222222222,-0.13333333333333333,-0.2,-0.20833333333333334,-0.20833333333333334,-0.20833333333333334,-0.20833333333333334,-0.20833333333333334,-0.20833333333333334,-0.20833333333333334,-0.20833333333333334,-0.20833333333333334,-0.13194444444444445,-0.13194444444444445,-0.13194444444444445,-0.30416666666666664,-0.30416666666666664,-0.11666666666666667,-0.11666666666666667,-0.11666666666666667,-0.20694444444444443,-0.28194444444444444,-0.28194444444444444,-0.10555555555555556,-0.10555555555555556,0.018055555555555554,0.4847222222222222]","[-0.18333333333333332,0.07083333333333333,0.04583333333333333,0.04027777777777778,-0.04861111111111111,-0.044444444444444446,-0.034722222222222224,0.03194444444444444,0.0375,0.041666666666666664,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.0375,0.06388888888888888,0.06527777777777778,0.06527777777777778,0.011111111111111112,0.011111111111111112,0.09583333333333334,0.09722222222222222,0.09722222222222222,0.08333333333333333,0.04027777777777778,0.04027777777777778,0.07222222222222222,0.07222222222222222,-0.022222222222222223,-0.3902777777777778]","[1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1]","[0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0]","[0.5660000000000025,1.267000000000003,1.7370000000000019,2.6479999999999997,2.934000000000001,3.6370000000000005,3.9299999999999997,4.147000000000002,4.350000000000001,4.469000000000001,4.613000000000003,4.795000000000002,5.064,5.765000000000001,6.161000000000001,6.281000000000002,6.411000000000001,6.547000000000001,6.711000000000002,6.934000000000001,7.0340000000000025,7.177,7.77,7.867000000000001,8.261000000000003,8.362000000000002,8.512,8.842000000000002,9.235000000000003,9.361,9.732000000000003,9.851000000000003,10.081000000000003,11.043000000000003]","[""blk1"",""blk5"",""blk3"",""blk3"",""blk2"",""blk2"",""blk5"",""blk5"",""blk3"",""blk3"",""blk3"",""blk3"",""blk3"",""blk3"",""blk3"",""blk3"",""blk3"",""blk3"",""blk5"",""blk5"",""blk5"",""blk5"",""blk5"",""blk5"",""blk3"",""blk3"",""blk3"",""blk5"",""blk5"",""blk2""]","[1,0,1,0]",0,25,25.999,1,0,1,0,1,
