instructions.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,participant,session,date,expName,psychopyVersion,OS,frameRate,ISI.started,positions,ISI.stopped,corsi_present.started,corsi_present.stopped,block_sequence.thisRepN,block_sequence.thisTrialN,block_sequence.thisN,block_sequence.thisIndex,block_sequence.ran
0.0003,3.9459,space,3.931,,,,,,,,715879,001,2023-10-23_19h00.51.258,corsi_blocks,2023.2.2,Win32,61.5536132,,,,,,,,,,
,,,,,,,,,,,715879,001,2023-10-23_19h00.51.258,corsi_blocks,2023.2.2,Win32,61.5536132,3.9639,"[[0.28875,0.39875],[0.03125,-0.41],[-0.485,0.34625],[-0.4075,0.11875],[0.1925,-0.295],[0.45375,0.175],[0.57875,-0.31375],[-0.16125,-0.28],[0.4625,0.35875]]",4.4594,4.4613,4.9603,0,0,0,0,1
,,,,,,,,,,,715879,001,2023-10-23_19h00.51.258,corsi_blocks,2023.2.2,Win32,61.5536132,,,,4.9611,5.4603,1,0,1,0,1
,,,,,,,,,,,715879,001,2023-10-23_19h00.51.258,corsi_blocks,2023.2.2,Win32,61.5536132,,,,5.461,5.9606,2,0,2,0,1
