instructions.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,participant,session,date,expName,psychopyVersion,OS,frameRate,ISI.started,positions,ISI.stopped,corsi_present.started,corsi_present.stopped,block_sequence.thisRepN,block_sequence.thisTrialN,block_sequence.thisN,block_sequence.thisIndex,block_sequence.ran,corsi_respond.started,corsi_respond.stopped,corsi_mouse.x,corsi_mouse.y,corsi_mouse.leftButton,corsi_mouse.midButton,corsi_mouse.rightButton,corsi_mouse.time,corsi_mouse.clicked_name,correct_list,corsi_correct,feedback.started,feedback.stopped,corsi_task.thisRepN,corsi_task.thisTrialN,corsi_task.thisN,corsi_task.thisIndex,corsi_task.ran,corsi_task.order
0.0003,21.7813,space,21.7502,,,,,,,,421589,001,2024-02-19_14h42.23.903,corsi_blocks,2023.2.2,MacIntel,60.24096386,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,421589,001,2024-02-19_14h42.23.903,corsi_blocks,2023.2.2,MacIntel,60.24096386,21.7903,"[[-0.6025,0.0725],[-0.485,0.34625],[-0.01875,0.235],[0.62875,-0.1825],[0.05875,-0.0575],[-0.09875,0.065],[-0.45875,-0.3],[-0.35125,0.36625],[-0.12125,-0.12625]]",22.2954,22.2975,22.7938,0,0,0,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,421589,001,2024-02-19_14h42.23.903,corsi_blocks,2023.2.2,MacIntel,60.24096386,,,,22.7947,23.2921,1,0,1,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,421589,001,2024-02-19_14h42.23.903,corsi_blocks,2023.2.2,MacIntel,60.24096386,,,,23.2927,23.7923,2,0,2,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,421589,001,2024-02-19_14h42.23.903,corsi_blocks,2023.2.2,MacIntel,60.24096386,,,,,,,,,,,23.793,38.2439,"[-0.2935069444444444,-0.37269097222222225,-0.008151041666666666,0.07954861111111111,0.45739583333333333]","[0.3379861111111111,0.36433159722222225,0.2347612847222222,-0.09213107638888889,-0.41443576388888886]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[5.7840000000000025,6.847900000095368,8.181500000000003,12.949200000047686,14.448400000095365]","[""blk8"",""blk3"",""blk5""]","[0,0,0]",0,38.2443,39.2441,0,0,0,0,1,
,,,,,,,,,,,421589,001,2024-02-19_14h42.23.903,corsi_blocks,2023.2.2,MacIntel,60.24096386,39.2451,"[[-0.01125,-0.295],[-0.26625,0.235],[-0.55125,-0.13375],[0.05875,-0.0575],[0.30125,-0.0175],[-0.45875,-0.3],[-0.18625,0.41125],[-0.16125,-0.28],[-0.12125,-0.12625]]",39.7421,39.7437,40.2461,0,0,0,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,421589,001,2024-02-19_14h42.23.903,corsi_blocks,2023.2.2,MacIntel,60.24096386,,,,40.2469,40.7463,1,0,1,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,421589,001,2024-02-19_14h42.23.903,corsi_blocks,2023.2.2,MacIntel,60.24096386,,,,40.7471,41.2443,2,0,2,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,421589,001,2024-02-19_14h42.23.903,corsi_blocks,2023.2.2,MacIntel,60.24096386,,,,,,,,,,,41.2445,44.6603,"[0.009574652777777777,-0.27891927083333334,-0.5129123263888888,0.5768098958333333]","[-0.29495225694444444,0.21537760416666665,-0.11326388888888889,-0.4246918402777778]","[1,1,1,1]","[0,0,0,0]","[0,0,0,0]","[1.2301000001430467,2.032900000095367,2.732799999952313,3.413700000047683]","[""blk1"",""blk2"",""blk3""]","[1,1,1]",1,44.6607,45.6595,1,0,1,0,1,
,,,,,,,,,,,421589,001,2024-02-19_14h42.23.903,corsi_blocks,2023.2.2,MacIntel,60.24096386,45.6602,"[[-0.26625,0.235],[-0.55125,-0.13375],[-0.24625,0.04375],[0.4625,0.35875],[0.54,0.03625],[0.19375,-0.17125],[-0.18625,0.41125],[-0.12125,-0.12625],[-0.45875,-0.3]]",46.1605,46.1619,46.6597,0,0,0,0,1,,,,,,,,,,,,,,,,,,,
