instructions.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,participant,session,date,expName,psychopyVersion,OS,frameRate,ISI.started,positions,ISI.stopped,corsi_present.started,corsi_present.stopped,block_sequence.thisRepN,block_sequence.thisTrialN,block_sequence.thisN,block_sequence.thisIndex,block_sequence.ran,corsi_respond.started,corsi_respond.stopped,corsi_mouse.x,corsi_mouse.y,corsi_mouse.leftButton,corsi_mouse.midButton,corsi_mouse.rightButton,corsi_mouse.time,corsi_mouse.clicked_name,correct_list,corsi_correct,feedback.started,feedback.stopped,corsi_task.thisRepN,corsi_task.thisTrialN,corsi_task.thisN,corsi_task.thisIndex,corsi_task.ran,end.started
0,11.389,space,11.379,,,,,,,,958722,001,2023-11-23_13h10.59.200,corsi_blocks,2023.2.2,Win32,62.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,958722,001,2023-11-23_13h10.59.200,corsi_blocks,2023.2.2,Win32,62.5,11.397,"[[-0.01875,0.235],[0.0675,0.07375],[-0.12125,-0.12625],[-0.285,-0.27125],[-0.16125,-0.28],[0.6375,0.27375],[-0.485,0.34625],[0.1925,-0.295],[0.62875,-0.1825]]",11.889,11.89,12.389,0,0,0,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,958722,001,2023-11-23_13h10.59.200,corsi_blocks,2023.2.2,Win32,62.5,,,,12.389,12.888,1,0,1,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,958722,001,2023-11-23_13h10.59.200,corsi_blocks,2023.2.2,Win32,62.5,,,,12.889,13.389,2,0,2,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,958722,001,2023-11-23_13h10.59.200,corsi_blocks,2023.2.2,Win32,62.5,,,,,,,,,,,13.39,19.543,"[-0.031481424967447914,0.07777777777777778,-0.12314809163411458,0.5138888888888888,0.525]","[0.2361111111111111,0.075,-0.11388888888888889,-0.42777777777777776,-0.40740746392144095]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[1.2979999999999983,2.213000000000001,3.029,4.545999999999999,6.145]","[""blk1"",""blk2"",""blk3""]","[1,1,1]",1,19.544,20.538,0,0,0,0,1,
,,,,,,,,,,,958722,001,2023-11-23_13h10.59.200,corsi_blocks,2023.2.2,Win32,62.5,20.539,"[[0.54,0.03625],[0.05875,-0.0575],[-0.68625,-0.225],[0.365,-0.27625],[-0.45875,-0.3],[0.0675,0.07375],[0.25625,0.0975],[-0.55125,-0.13375],[-0.4075,0.11875]]",21.038,21.04,21.538,0,0,0,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,958722,001,2023-11-23_13h10.59.200,corsi_blocks,2023.2.2,Win32,62.5,,,,21.538,22.038,1,0,1,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,958722,001,2023-11-23_13h10.59.200,corsi_blocks,2023.2.2,Win32,62.5,,,,22.038,22.537,2,0,2,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,958722,001,2023-11-23_13h10.59.200,corsi_blocks,2023.2.2,Win32,62.5,,,,22.538,23.038,3,0,3,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,958722,001,2023-11-23_13h10.59.200,corsi_blocks,2023.2.2,Win32,62.5,,,,,,,,,,,23.038,27.92,"[0.5222222222222223,0.06203706529405382,-0.7092592451307509,0.3740741305881076,0.5138888888888888]","[0.05925924513075087,-0.046296310424804685,-0.22407413058810763,-0.2620370652940538,-0.40555555555555556]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[1.0319999999999965,1.7989999999999995,2.631999999999998,3.7479999999999976,4.881]","[""blk1"",""blk2"",""blk3"",""blk4""]","[1,1,1,1]",1,27.921,28.92,1,0,1,0,1,
,,,,,,,,,,,958722,001,2023-11-23_13h10.59.200,corsi_blocks,2023.2.2,Win32,62.5,28.923,"[[-0.45875,-0.3],[-0.26625,0.235],[0.1925,-0.295],[0.03125,-0.41],[-0.3575,-0.05625],[-0.4075,0.11875],[-0.6025,0.0725],[0.4625,0.35875],[0.30125,-0.0175]]",29.42,29.42,29.92,0,0,0,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,958722,001,2023-11-23_13h10.59.200,corsi_blocks,2023.2.2,Win32,62.5,,,,29.921,30.42,1,0,1,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,958722,001,2023-11-23_13h10.59.200,corsi_blocks,2023.2.2,Win32,62.5,,,,30.42,30.92,2,0,2,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,958722,001,2023-11-23_13h10.59.200,corsi_blocks,2023.2.2,Win32,62.5,,,,30.92,31.419,3,0,3,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,958722,001,2023-11-23_13h10.59.200,corsi_blocks,2023.2.2,Win32,62.5,,,,31.42,31.92,4,0,4,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,958722,001,2023-11-23_13h10.59.200,corsi_blocks,2023.2.2,Win32,62.5,,,,,,,,,,,31.92,37.719,"[-0.45,-0.26666666666666666,0.1907407972547743,0.025,-0.3490740458170573,0.518518575032552]","[-0.29629635281032984,0.23796295589870878,-0.31018524169921874,-0.4018519083658854,-0.05277777777777778,-0.41018524169921877]","[1,1,1,1,1,1]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[1.2659999999999982,2.4649999999999963,3.399000000000001,4.032999999999994,4.7819999999999965,5.7989999999999995]","[""blk1"",""blk2"",""blk3"",""blk4"",""blk5""]","[1,1,1,1,1]",1,37.719,38.719,2,0,2,0,1,
,,,,,,,,,,,958722,001,2023-11-23_13h10.59.200,corsi_blocks,2023.2.2,Win32,62.5,38.719,"[[-0.4075,0.11875],[-0.01875,0.235],[0.45375,0.175],[0.05875,-0.0575],[-0.68625,-0.225],[-0.18625,0.41125],[0.25625,0.0975],[0.0675,0.07375],[-0.01125,-0.295]]",39.218,39.219,39.719,0,0,0,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,958722,001,2023-11-23_13h10.59.200,corsi_blocks,2023.2.2,Win32,62.5,,,,39.719,40.218,1,0,1,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,958722,001,2023-11-23_13h10.59.200,corsi_blocks,2023.2.2,Win32,62.5,,,,40.219,40.719,2,0,2,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,958722,001,2023-11-23_13h10.59.200,corsi_blocks,2023.2.2,Win32,62.5,,,,40.719,41.218,3,0,3,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,958722,001,2023-11-23_13h10.59.200,corsi_blocks,2023.2.2,Win32,62.5,,,,41.218,41.719,4,0,4,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,958722,001,2023-11-23_13h10.59.200,corsi_blocks,2023.2.2,Win32,62.5,,,,41.719,42.218,5,0,5,0,1,,,,,,,,,,,,,,,,,,,
