instructions.started,instructions.stopped,key_resp.keys,key_resp.rt,key_resp.duration,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,participant,session,date,expName,psychopyVersion,OS,frameRate,ISI.started,positions,ISI.stopped,corsi_present.started,corsi_present.stopped,block_sequence.thisRepN,block_sequence.thisTrialN,block_sequence.thisN,block_sequence.thisIndex,block_sequence.ran,corsi_respond.started,corsi_respond.stopped,corsi_mouse.x,corsi_mouse.y,corsi_mouse.leftButton,corsi_mouse.midButton,corsi_mouse.rightButton,corsi_mouse.time,corsi_mouse.clicked_name,correct_list,corsi_correct,feedback.started,feedback.stopped,corsi_task.thisRepN,corsi_task.thisTrialN,corsi_task.thisN,corsi_task.thisIndex,corsi_task.ran,corsi_task.order
0.0001,15.264,space,15.2441,,,,,,,,732876,001,2023-12-14_10h33.27.116,corsi_blocks,2023.2.2,Win32,59.52380952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,732876,001,2023-12-14_10h33.27.116,corsi_blocks,2023.2.2,Win32,59.52380952,15.2726,"[[0.16625,0.3825],[0.25625,0.0975],[-0.35125,0.36625],[-0.12125,-0.12625],[0.57875,-0.31375],[0.4125,-0.1325],[-0.26625,0.235],[0.6375,0.27375],[-0.6025,0.0725]]",15.7639,15.7647,16.2644,0,0,0,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,732876,001,2023-12-14_10h33.27.116,corsi_blocks,2023.2.2,Win32,59.52380952,,,,16.2647,16.7647,1,0,1,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,732876,001,2023-12-14_10h33.27.116,corsi_blocks,2023.2.2,Win32,59.52380952,,,,16.765,17.2654,2,0,2,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,732876,001,2023-12-14_10h33.27.116,corsi_blocks,2023.2.2,Win32,59.52380952,,,,,,,,,,,17.2659,27.8941,"[0.1573082665803636,0.0804340014754432,-0.26688858672609894,-0.10943559351257236,0.5027785570335113]","[0.3638495129200208,0.06283648831799475,0.24344428541346327,-0.08998551762052279,-0.39285088413531116]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[1.0165000000000006,5.070499999999999,7.8234000000003725,8.757900000000372,10.6265]","[""blk1"",""blk7"",""blk4""]","[1,1,1,0,0]",0,27.8945,28.8945,0,0,0,0,1,
,,,,,,,,,,,732876,001,2023-12-14_10h33.27.116,corsi_blocks,2023.2.2,Win32,59.52380952,28.8948,"[[0.54,0.03625],[0.05875,-0.0575],[-0.01875,0.235],[0.28875,0.39875],[0.22,0.2425],[0.30125,-0.0175],[0.57875,-0.31375],[0.62875,-0.1825],[-0.16125,-0.28]]",29.3953,29.3959,29.8956,0,0,0,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,732876,001,2023-12-14_10h33.27.116,corsi_blocks,2023.2.2,Win32,59.52380952,,,,29.8959,30.396,1,0,1,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,732876,001,2023-12-14_10h33.27.116,corsi_blocks,2023.2.2,Win32,59.52380952,,,,30.3962,30.8965,2,0,2,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,732876,001,2023-12-14_10h33.27.116,corsi_blocks,2023.2.2,Win32,59.52380952,,,,,,,,,,,30.8966,34.7682,"[0.5426049239383592,0.07487697573715629,-0.017742416448082488,0.5157453037377895]","[0.0267149377317746,-0.08628074546626266,0.23696093414350805,-0.399334301651818]","[1,1,1,1]","[0,0,0,0]","[0,0,0,0]","[1.1674999999999969,1.9850999999996262,2.6860999999996267,3.870700000000184]","[""blk1"",""blk2"",""blk3""]","[1,1,1]",1,34.7685,35.7684,1,0,1,0,1,
,,,,,,,,,,,732876,001,2023-12-14_10h33.27.116,corsi_blocks,2023.2.2,Win32,59.52380952,35.7687,"[[0.45375,0.175],[0.1925,-0.295],[0.0675,0.07375],[0.03125,-0.41],[-0.4075,0.11875],[0.62875,-0.1825],[-0.12125,-0.12625],[0.22,0.2425],[-0.09875,0.065]]",36.2692,36.2698,36.7698,0,0,0,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,732876,001,2023-12-14_10h33.27.116,corsi_blocks,2023.2.2,Win32,59.52380952,,,,36.77,37.2703,1,0,1,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,732876,001,2023-12-14_10h33.27.116,corsi_blocks,2023.2.2,Win32,59.52380952,,,,37.2705,37.7709,2,0,2,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,732876,001,2023-12-14_10h33.27.116,corsi_blocks,2023.2.2,Win32,59.52380952,,,,37.7711,38.2717,3,0,3,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,732876,001,2023-12-14_10h33.27.116,corsi_blocks,2023.2.2,Win32,59.52380952,,,,,,,,,,,38.2718,44.3451,"[0.19065121596870477,0.06283644415362699,0.012821975906747468,0.5138928734962916,0.193429773002216,0.5018523419127623]","[-0.2863386184537808,0.03690303907380608,-0.43267733936889474,-0.20112885890579776,-0.2891172638160275,-0.40489150404757596]","[1,1,1,1,1,1]","[0,0,0,0,0,0]","[0,0,0,0,0,0]","[0.31589999999944496,0.7330999999996308,1.4840999999996285,3.7030999999996297,4.987799999999815,6.072599999999632]","[""blk2"",""blk3"",""blk4"",""blk2""]","[0,0,0]",0,44.3454,45.3459,2,0,2,0,1,
,,,,,,,,,,,732876,001,2023-12-14_10h33.27.116,corsi_blocks,2023.2.2,Win32,59.52380952,45.3461,"[[-0.485,0.34625],[0.365,-0.27625],[-0.12125,-0.12625],[-0.18625,0.41125],[-0.3575,-0.05625],[-0.24625,0.04375],[0.16625,0.3825],[-0.01125,-0.295],[-0.09875,0.065]]",45.8464,45.8471,46.347,0,0,0,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,732876,001,2023-12-14_10h33.27.116,corsi_blocks,2023.2.2,Win32,59.52380952,,,,46.3472,46.8476,1,0,1,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,732876,001,2023-12-14_10h33.27.116,corsi_blocks,2023.2.2,Win32,59.52380952,,,,46.8478,47.3479,2,0,2,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,732876,001,2023-12-14_10h33.27.116,corsi_blocks,2023.2.2,Win32,59.52380952,,,,47.3481,47.8485,3,0,3,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,732876,001,2023-12-14_10h33.27.116,corsi_blocks,2023.2.2,Win32,59.52380952,,,,,,,,,,,47.8486,52.2537,"[-0.4512011559758276,0.35088289870884587,-0.08998551762052279,-0.1714905933429812,0.48610703817497286]","[0.33976843871187024,-0.2557742260989508,-0.1251808972503618,0.42683068370681077,-0.41415347859759405]","[1,1,1,1,1]","[0,0,0,0,0]","[0,0,0,0,0]","[1.1174999999999997,1.918399999999444,2.702399999999443,3.436599999999629,4.404399999999441]","[""blk1"",""blk2"",""blk3"",""blk4""]","[1,1,1,1]",1,52.254,53.2546,3,0,3,0,1,
,,,,,,,,,,,732876,001,2023-12-14_10h33.27.116,corsi_blocks,2023.2.2,Win32,59.52380952,53.2547,"[[0.22,0.2425],[-0.285,-0.27125],[-0.09875,0.065],[-0.6025,0.0725],[0.4625,0.35875],[0.05875,-0.0575],[-0.26625,0.235],[-0.4075,0.11875],[-0.18625,0.41125]]",53.7553,53.756,54.2559,0,0,0,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,732876,001,2023-12-14_10h33.27.116,corsi_blocks,2023.2.2,Win32,59.52380952,,,,54.2561,54.7563,1,0,1,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,732876,001,2023-12-14_10h33.27.116,corsi_blocks,2023.2.2,Win32,59.52380952,,,,54.7565,55.2568,2,0,2,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,732876,001,2023-12-14_10h33.27.116,corsi_blocks,2023.2.2,Win32,59.52380952,,,,55.257,55.7578,3,0,3,0,1,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,732876,001,2023-12-14_10h33.27.116,corsi_blocks,2023.2.2,Win32,59.52380952,,,,55.7582,56.2582,4,0,4,0,1,,,,,,,,,,,,,,,,,,,
